Headword,DEFINITION,Part of Speech,SEMANTIC GROUP,FREQUENCY RANK,Transliterated,Latinized
ὁ ἡ τό,the,definite article,Pronouns/Interrogatives,1,ho he to,ho he to
αὐτός αὐτή αὐτό,"him- her- itself etc. (for emphasis); the same (with article); (pron.) him, her, it etc. (in oblique cases)",adjective: 1st and 2nd declension,Pronouns/Interrogatives,2,autos aute auto,autus aute auto
καί,"and, also, even; καί...καί both...and",conjunction: coordinating,Conjunctions/Adverbs,3,cae,cae
δέ,and; but,conjunction: coordinating,Particles,4,de,de
τίς τί,who? what? which? (interrog. pron./adj.),pronoun,Pronouns/Interrogatives,5,tis ti,tis ti
"εἰμί, ἔσομαι, impf. ἦν, infin. εἶναι","be, exist",verb: irregular,Humanity and Being,6,"imi, esomae, impf. en, infin. inae","imi, esomae, impf. en, infin. inae"
οὗτος αὕτη τοῦτο,"this, these; μετὰ ταῦτα after this",pronoun,Pronouns/Interrogatives,7,hutos haute tuto,hutus haute tuto
ἤ,or; than (after a comparative); ἤ...ἤ either...or,conjunction: coordinating,Conjunctions/Adverbs,8,e,e
ἐν,"in, among (+dat.)",preposition,Direction,9,en,en
μέν...δέ,on the one hand...on the other hand (often untranslated); μέν (by itself) indeed,conjunction: coordinating,Particles,10,men...de,men...de
τις τι,"someone, something, anyone, anything, some, any (enclitic indef. pron./adj.)",pronoun,Pronouns/Interrogatives,11,tis ti,tis ti
ὅς ἥ ὅ,"who, which, that",pronoun,Pronouns/Interrogatives,12,hos he ho,hus he ho
γάρ,"for (explanatory), indeed, in fact (confirming)",conjunction: coordinating,Conjunctions/Adverbs,13,gar,gar
"οὐ, οὐκ, οὐχ",not (with indicative verbs),adverb,Conjunctions/Adverbs,14,"u, uc, uch","u, uc, uch"
"λέγω, ἐρῶ, εἶπον, εἴρηκα, λέλεγμαι, ἐλέχθην and ἐρρήθην","say, speak (of), recount; pick up, collect, count",verb: irregular,Writing and Talking,15,"lego, ero, ipon, ireca, lelegmae, elechthen and errhethen","lego, ero, ipon, ireca, lelegmae, elechthen and errhethen"
ὡς,"as, since; (introducing purpose clause) so that (+subj./opt.); (introducing indir. statement) that",conjunction: subordinating,Conjunctions/Adverbs,16,hos,hus
τε,and; τε…τε both…and,conjunction: coordinating,Conjunctions/Adverbs,17,te,te
εἰς,"into, to, towards (+acc.)",preposition,Direction,18,is,is
ἐπί,"at (+gen.); on (+dat.); on to, against (+acc.)",preposition,Direction,19,epi,epi
κατά,"down, down (from or along), throughout, according to; κατὰ γῆν by land; κατὰ φύσιν in accordance with nature; κατ’ ἔθνη by nations; καθ᾿ἕνα one by one.",preposition,Direction,20,cata,cata
"ἐγώ ἐμοῦ, (pl.) ἡμεῖς, ἡμῶν","I, we",pronoun,Pronouns/Interrogatives,21,"ego emu, (pl.) hemis, hemon","ego emu, (pl.) hemis, hemum"
πρός,"from the side of, in the presence of (+gen.); near, at, in addition to (+dat.); to, towards, in relation to (+acc.)",preposition,Direction,22,pros,prus
"γίγνομαι, γενήσομαι, 2 aor. ἐγενόμην, γέγονα, γεγένημαι, ἐγενήθην","become; be born; happen, be",verb: deponent,Humanity and Being,23,"gignomae, genesomae, 2 aor. egenomen, gegona, gegenemae, egenethen","gignomae, genesomae, 2 aor. egenomen, gegona, gegenemae, egenethen"
ἐάν (εἰ-ἄν),if (+subj.),conjunction: subordinating,Conjunctions/Adverbs,24,ean (i-an),ean (i-an)
διά,"through, during, because of (+gen., acc.)",preposition,Prepositions without Direction,25,dia,dia
ἀλλά,but,conjunction: coordinating,Conjunctions/Adverbs,26,alla,alla
πᾶς πᾶσα πᾶν,"every, all; whole (with article)",noun: 3rd declension irregular,Measurements and Numerals,27,pas pasa pan,pas pasa pan
"ἔχω, ἕξω or σχήσω, 2 aor. ἔσχον, ἔσχηκα, impf. εἶχον","have, hold, keep",verb: irregular,Taking and Giving,28,"echo, hexo or scheso, 2 aor. eschon, escheca, impf. ichon","echo, hexo or scheso, 2 aor. eschon, escheca, impf. ichum"
"ἐκ, ἐξ","from, out of (+gen.)",preposition,Direction,29,"ec, ex","ec, ex"
πολύς πολλή πολύ,"much, many; ὡς ἐπὶ τὸ πολύ for the most part",noun: 3rd declension irregular,Measurements and Numerals,30,polys polle poly,polys polle poly
περί,"around, about; concerning (+gen.)",preposition,Direction,31,peri,peri
μή,"not (marks the negative as subjective or conditional); εἰ μή if not, except",conjunction: subordinating,Conjunctions/Adverbs,32,me,me
ὅστις ἥτις ὅ τι,"anyone who, anything which; (in indir. quest.) who, which, what",pronoun,Pronouns/Interrogatives,33,hostis hetis ho ti,hostis hetis ho ti
ἄν,"[marks verbs as potential (with optative), or generalizing (with subjunctive)]",adverb,Particles,34,an,an
"σύ, σοῦ, (pl.) ὑμεῖς, ὑμῶν",you,pronoun,Pronouns/Interrogatives,35,"sy, su, (pl.) hymis, hymon","sy, su, (pl.) hymis, hymum"
ἀνά,"up, on; throughout",preposition,Direction,36,ana,ana
ὅτι,"because, that; (with superl.) as...as possible",conjunction: subordinating,Conjunctions/Adverbs,37,hoti,hoti
εἰ,if (+indic. or opt.); εἴπερ if indeed,conjunction: subordinating,Conjunctions/Adverbs,38,i,i
ἄλλος ἄλλη ἄλλο,"other, another",adjective: 1st and 2nd declension,Pronouns/Interrogatives,39,allos alle allo,allus alle allo
ἀπό,from (+gen.),preposition,Direction,40,apo,apo
"φημί, φήσω, impf. ἔφην","say, assert, declare; οὐ φημί deny, refuse, say that...not",verb: -μι,Writing and Talking,41,"phemi, pheso, impf. ephen","phemi, pheso, impf. ephen"
ὑπό,"under (+gen., dat.); by (+gen. of personal agent); down under (+acc.)",preposition,Direction,42,hypo,hypo
"ποιέω, ποιήσω, ἐποίησα, πεποίηκα, πεποίημαι, ἐποιήθην","make, produce, cause, do; (mid.) consider, reckon",verb: contracted,Work and Leisure,43,"poeeo, poeeso, epoeesa, pepoeeca, pepoeemae, epoeethen","poeeo, poeeso, epoeesa, pepoeeca, pepoeemae, epoeethen"
οὖν,"therefore, accordingly; at any rate",adverb,Particles,44,un,un
"λόγος λόγου, ὁ","word, speech, discourse; thought, reason, account",noun: 2nd declension,Writing and Talking,45,"logos logu, ho","logus logu, ho"
παρά,"from (+gen.); beside (+dat.); to, to the side of, contrary to (+acc.)",preposition,Direction,46,para,para
οὕτως,in this way,adverb,Conjunctions/Adverbs,47,hutos,hutus
πρότερος προτέρα πρότερον,"before, earlier; τὸ πρότερον previously, before",adjective: 1st and 2nd declension,Time,48,proteros protera proteron,proterus protera proterum
"θεός θεοῦ, ὁ/ἡ","god, goddess",noun: 2nd declension,Religion,49,"theos theu, ho/e","theus theu, ho/e"
μετά,with (+gen.); after (+acc.),preposition,Prepositions without Direction,50,meta,meta
ἑαυτοῦ ἑαυτῆς ἑαυτοῦ,him- her- itself (reflexive pron.),pronoun,Pronouns/Interrogatives,51,heautu heautes heautu,heautu heautes heautu
μέγας μεγάλη μέγα,"big, great, powerful",adjective: 1st and 2nd declension,Measurements and Numerals,52,megas megale mega,megas megale mega
οὐδέ,"and not, but not, nor; οὐδέ...οὐδέ not even...nor yet",conjunction: coordinating,Conjunctions/Adverbs,53,ude,ude
ἐκεῖνος ἐκείνη ἐκεῖνο,that person or thing; ἐκεῖνος…οὗτος the former…the latter,pronoun,Pronouns/Interrogatives,54,ecinos ecine ecino,ecinus ecine ecino
τοιοῦτος τοιαύτη τοιοῦτο,"such, of such a sort",adjective: 1st and 2nd declension,Pronouns/Interrogatives,55,toeutos toeaute toeuto,toeutus toeaute toeuto
οὐδείς οὐδεμία οὐδέν,"no one, nothing",pronoun,Pronouns/Interrogatives,56,udis udemia uden,udis udemia uden
εἶπον,"I said, I spoke, 2 aor. → λέγω, φημί",verb: irregular,Writing and Talking,57,ipon,ipum
ἀγαθός ἀγαθή ἀγαθόν,"good, virtuous, brave, noble",adjective: 1st and 2nd declension,Ethics and Morals,58,agathos agathe agathon,agathus agathe agathum
γε,"(enclitic) indeed; at least, at any rate",adverb,Particles,59,ge,ge
δή,"surely, really, now, in fact, indeed (gives greater exactness)",adverb,Particles,60,de,de
"πόλις πόλεως, ἡ","city, city-state",noun: 3rd declension ι-stem,Government and Society,61,"polis poleos, he","polis poleos, he"
εἷς μία ἕν,one,adjective: numeral,Measurements and Numerals,62,his mia hen,his mia hen
"ἵημι, ἥσω, ἧκα, -εἷκα, εἷμαι, -εἵθην","put in motion, let go, shoot; (mid.) hasten, rush",verb: -μι,Work and Leisure,63,"hiemi, heso, heca, h-ica, himae, h-ithen","hiemi, heso, heca, h-ica, himae, h-ithen"
"δέω, δεήσω, ἐδέησα, δεδέηκα, δεδέημαι, ἐδεήθην","lack, miss, stand in need of (+gen.)",verb: contracted,Taking and Giving,64,"deo, deeso, edeesa, dedeeca, dedeemae, edeethen","deo, deeso, edeesa, dedeeca, dedeemae, edeethen"
"ἄνθρωπος –ου, ὁ/ἡ",human being,noun: 2nd declension,Humanity and Being,65,"anthropos u, ho/e","anthropus u, ho/e"
"ὁράω, ὄψομαι, 2 aor. εἶδον, ἑόρακα and ἑώρακα, ὤφθην, impf. ἑώρων","see, look (to)",verb: irregular,The Senses and Feelings,66,"horao, opsomae, 2 aor. idon, heoraca and heoraca, ophthen, impf. heoron","horao, opsomae, 2 aor. idon, heoraca and heoraca, ophthen, impf. heorum"
μόνος μόνη μόνον,"alone, single",adjective: 1st and 2nd declension,Measurements and Numerals,67,monos mone monon,monus mone monum
οὔτε...οὔτε,neither...nor,conjunction: coordinating,Conjunctions/Adverbs,68,ute...ute,ute...ute
