treatment_id	n_terms_above_5
taxon_a728c78cf5db1f266b1eb159e31f23d427a42af7bf0df7e754ee4ff606209b39	915
taxon_fd90008958c9c9fc08f360727b9ec30c53ef56c12446f62671d7310e3b0c74db	647
taxon_1039d8297c4af56318343f59d550cddc7fffe6161fb391519b18f110cbfd42d5	503
taxon_18343c4f3c58690edb2fcf727f5a3cf06f2e44856c4f1ae6a50f90b4c1df329d	497
taxon_bdf1cb1dbca569a3987f73867d888f4b5eec87f6a64d813ef30769fd3b4022cd	455
taxon_de139ca51b69e40a07509a485806c827ecbba54e865e75d93afc6c8887356b54	455
taxon_429876fa15adba1cce47d43d02883e92cb6de209bac340224f52fa77dca36731	449
taxon_adbb59aeb05968d5c92100f9d5a0bc39ccf0f510960d833c57a7ec3755c8f560	449
taxon_8b3844f0cdcc7dc7e67fdb1360096204a08ac27df70237cabcba54afa3860439	443
taxon_5116d1f9068271aaa80ef8a7b58d2b3c817c24c49f47da091ffa4ec0e906b4fe	439
taxon_9b36f2886cee1b019c293e9e49a2ca9125aa57dfd8f491bd8bfe49b1ff5024ba	428
taxon_2b192d07cb1ca3d71c7bf76755e9401b3838179c0d109dc8e532ada08a3c944f	426
taxon_65aacf3717f3aee189e0e554a2bcd799760098daaab8762454f1fb5834753941	421
taxon_0db5c4140f061bbc67052efed1f890f9ec517fe20a08e23952149dcf5811a8f4	405
taxon_9dbc3344dd3cdcc8166ac7d91b84dce351ebea3aa9bb51886891471765bf3023	405
taxon_edc6828908aa04f7e9286e8d3a9b2d6e5e1c663e9dd199f298201606ad5bc801	403
taxon_cdf5dec93ed18c2665f48d4f50aca8c57c5a6f49820d61194eb8821ca9ec6273	401
taxon_25f858ca062272dddb2165fcc0b31f21e0ad694984b8611e6aac8bf914500544	398
taxon_86e8a2188e58d5ba409b3c6ef5fd207c506883ac9b3111516861ef2c61ae3412	394
taxon_9d8e3a11834b18c4cd06d0668d2de7c8bde959764f86967348311576492a0e63	390
taxon_6d017454e62b8ed5886a4b2dce784f1d959070eda3eac99bff91e093dbe5d0ea	365
taxon_5e1af82b5f8f0485b6670832ec12b7003ac8c869a209f9f8cdb50c6a7943f6ba	357
taxon_3b207b944d619ff3dd4cea8a5569256ed10516777a9ba3fb6d54e926f9fb6eea	340
taxon_58dbe417344903c552f6c13f77034a0a89a9cf5655e6b2124005947250e79f47	337
taxon_68c8b067e3313989fd851d7e0346d23cded133eaa0c4b84ed135ac70e2791273	329
taxon_c900e6993f1e8cfcbd51a0d124d604a3b215f74cff07362901ca4288585feaac	323
taxon_9e79ce2de07d097e4b577124a637ea8a6285d353d81ff8c69b8693442686e12b	317
taxon_db63ecea4d5a5b0329d257a6d6d6c56738500ed49dab40d0372d0956d15dd323	314
taxon_35d61d7990986d5d677a2b3e20c219aef346e3cdeb6ac077b69da2908c336561	313
taxon_3af15cf73dc9f9c51b94138fd6e2e0efe32771059c4204c071a188ab0e1ebf5d	306
taxon_73e3072f72adcc28edc05a21b260719d9942399570b71e8fd0e15e00a0b5aee2	304
taxon_cb8417a36a28b18bd4e57efc519e71211c96be0f495b2658dcf9a7d6620c8fcc	304
taxon_65c9772da7822bd5fce0d43ffed1c37672b08e91c0425d1f914b056ebe55cc87	303
taxon_a9ad0c71d39c3b600b8eccdb34e2ef61e95b180a5b688a9cd994ea215726f93e	303
taxon_07bc0b15824df35cb11c1dae3f62900af75e3e54cfa89e8969dc530b02d22a2b	293
taxon_0ce6314589211a84cbc3bc245af584471dec1e881de1a615649bb6c1d5330ee5	291
taxon_65695d0230e0a7b06c618733324f0e0dc0509d4067121ab2e970b50462a6c71c	290
taxon_81d5a2d6be04c7028eb559129331886cd0846b7ad447efc01392ac3a13fa030f	284
taxon_a816b1f97f3d918d5b0a35db8e01be4d0063c4ff3c7f167dc2b9f9ea243a5a67	282
taxon_b8e443f158480a54558e195a951ca7950d7fc3331ac9ddfc7dfa027cde6ca9e3	280
taxon_66bae43c4cfae21bfb0d3ed945887d45b478dd7bb72b99605f5f67b70d81d690	279
taxon_7950c5c02c0a903a1c7a35e1161656d38a85ebb116ef4441b49732cb206e4d9d	276
taxon_d5d076e7eb822772d013df3478191ceb7f316667c8100809899da91a3cfd43f1	276
taxon_34e76712d78f0ffefbcef88b62f48795415da5e32a4e7164af0f06dd2465a7d6	275
taxon_4d163cf6276cff49a0dd49128d92aca021a1524ac6004ece3997da619172fc47	268
taxon_5f2a8fdeef8fb7611ae93bb6a3e54850b14f4dc958d046f996f0dcbba95da34d	268
taxon_dc0921daf003d51c3d69c9f6ae97a8845003f200f2d5f33cff4e7a57609886de	268
taxon_b2263ab7d621f152755b86757b86a39943429751c3dcffdc5087288cdf6eae0f	263
taxon_827a73f3532a6a33b1c8fcb11463de736c899d2eab1ed3b476a64ef70f9ad451	262
taxon_1e665afafba2636985089272f084f160d8772ccdede6113cf0a8cce11889e4b2	260
taxon_44dd43d15af0bd9d47f84105c2935447d06d79990bb6520ee47cabb9101479b6	260
taxon_0ce8ec955e43673b798853742c887bd648fb400c8eaa92c6baa291768b2db1f4	258
taxon_9cf912e3139dc428177f757ed780467751086cdee7cd29d5ed2edb17ccb317a1	258
taxon_8080360af486c1da80185665d73d667b4c6ab96dd2b7545de7f402d78b3f4d16	257
taxon_56af6d71bd6612de6a7919623bb394f980b2e7c4a3f84632002833cec1fa4166	254
taxon_fa5da582e99f3496ce3220f66da947ad5b1eb56cef909d23c3a5be6834eb3748	252
taxon_440304c81a4e5b14081b6e0af3873eddc4bf5c8bc7bdbfed03c016c9d299b7f1	250
taxon_d5983314ed0f028ea27b0f23b5340b6ccd5a56ec143add5c1226a97e9b87ca56	248
taxon_2beff706353f1819c06ae0f39e088e6eb9a5b648f9ecba653d34eaf22e6a31b7	247
taxon_aa5a9f20cda3b48ed2739e73bd3f260c0f43cc18b480479c06289f722ff682e7	247
taxon_1b88ffb702db5389adb2a10526ae330e99eee62f4422e7c0de021330d38b3ee9	246
taxon_9a7a752042e28d1dc52887da14a106854a020985f839c17482bdb6b417620513	245
taxon_a916919c34dbeb0675317f3a7ef7df1feff169dfad3d0125ab342809f5febd76	245
taxon_6b9ca88706e6676fa54ea7ffcbf39a106ecab2d59aafcfc99590f62ba7538b81	244
taxon_897c94fe4cb005e88984ca06749ffb99eb4deb8575394d7bb53bb2090345b168	243
taxon_fce609ba7d0d81296a7faa534d5c6c531a45e5015d2ddef647d040f207520b74	242
taxon_889b5e9d6fda9617ecec2d6fea3914fe38d0f5cdd1eaa5164d061b6d8481535b	240
taxon_db652705500803e894e505b6df3ae55c36948ded012b72a16b742360525ed969	240
taxon_94920525821e9ad5d70a65e391a02be5141ae129f309c60ce5b5dc833d1309e0	239
taxon_bba4dee58046311a9f6922aa0fc497507ed0cb5fd1addc4c5293fc60f816b974	239
taxon_62ea7c6a35df520433cca636b507a13d57b3ecf18ba37842c09f77e77559da68	237
taxon_ef42b8651198516f3f6420b940d21eb4ee1b2afa662d96eaf7926162d713547a	234
taxon_7c0822b04a49226720c278788b6ecea51704619645f114281072f3e2f29d3a5d	233
taxon_8a0599d0bc2b1d6a064e802c21ccfb9bd004030e64cfe861a1139d6af1af3c36	232
taxon_799978fe3e921bd5fdda5a866392be46583cb1de10bbcc3f42f33ad2fa240a39	231
taxon_18979de948c0177dd35b1c84fc94b1a62cfc705406fc2d61d3b02e8de7e0a31f	229
taxon_99227cc9665b5a8babcf00f8f782a3a14d00629a55fee55a9b63511deaad4e89	229
