treatment_id,reviewed,reviewer,bootstrap_status,claude_annotation_count,kept_count,added_count,deleted_count,merge_metric,desc_length,diag_length,n_diagnosis_headers,n_description_headers,n_sp_nov,n_key_couplets,desc_starts_mid_sentence,latin_block_count,synthetic_nomenclature,predicted_issues,first_line
taxon_592128a80445cd6dd355fbcfeca82266dc2a6796dd9d05003ad819fc91327213,False,,success,161,0,0,0,112,19588,3005,0,0,1,0,False,3,False,§6:latin_alt|§6:merge_metric=112,"Smith and Hesler, Lloydia 2, pi. 21. 1939."
taxon_572d470e955a515d2a42157eca330cd00ebc54f489f15d45be38b595f2986ee7,False,,partial,96,0,0,0,66,14226,3709,0,0,1,0,False,1,False,§6:merge_metric=66,"Apothccia angustara parva scssilia, o,l!-o,5 mm diam. Receptaculum initio globu…"
taxon_e6402cd3e1e393505bdc73dc81a892452a3a18fa53cf1bc871c07bb8961cec3d,False,,success,44,0,0,0,41,5856,1366,0,0,0,0,False,2,False,§6:latin_alt|§6:merge_metric=41,"Conidiomata pycnidial, scattered, amphigenous, but mostly epiphyllous,"
taxon_e74d89b15728384a423fc808a4f7ab722a7a5e817e98d777a54560445a5868df,False,,success,38,0,0,0,35,6953,2024,0,0,0,1,False,0,False,§6:merge_metric=35,"On Potato carrot agar (PCA), mycelium consisting of pale"
taxon_b9a623297a26a323128e38372b95a6f3c675ef302f2a597aa4a9b7d8442c100e,False,,success,31,0,0,0,27,7385,0,0,0,0,0,False,0,False,§6:merge_metric=27,"Mycelium internal, hyphae (4)-6-(10) jlm in diameter, forming lesions on"
taxon_f00f8353346b5c27209e5d4ec73181288400f0c4e7db80dd7b3dc1fcbefcb56c,False,,success,38,0,0,0,26,5716,791,0,0,0,0,True,0,False,§10:mid_sentence|§6:merge_metric=26,thick.
taxon_876c18ec9bd681a64249acca39c6f08d7be7de7d26d0f6fa6fd646ad2668c9fd,False,,success,27,0,0,0,12,3292,0,0,0,0,0,False,0,True,§2:synth_nomen|§6:merge_metric=12,"Colonies (Fig. 1) when one-wkold white, felty, with smooth margins; reverse col…"
taxon_9e04801321bec3dbc3fd75aa7c26770a07b5ee303e71280906f34f3de9ddc586,False,,partial,27,0,0,0,10,439,2045,0,0,0,0,False,0,False,§6:merge_metric=10,"Pileus finely-fibrillose to rimose, not squamulose; basidia hyaline"
taxon_8f93bded0292c57443738564dc65e72c652ee5daf250538bd90cc0ac11e37192,False,,success,17,0,0,0,8,4354,618,0,0,0,0,False,0,False,,Diagnosis — Robust bright reddish orange basidiomes with plane to upturned pile…
taxon_95dbdfb9da5c3ed9b6bb5ca4eea6e0e294e356cba0663b57eafc00224349372f,False,,success,19,0,0,0,7,3452,539,0,3,0,0,False,0,False,§6:multi_description,Illustration: Braun et al. �������������������
