classifier,vectorizer,time,label,precision,recall,f1,support
BernoulliNB,CountVectorizer,0.151343,Description,0.6,0.7115384615384616,0.6510263929618768,156
BernoulliNB,CountVectorizer,0.151343,Misc-exposition,0.9230769230769231,0.9574155653450808,0.9399327246516098,2043
BernoulliNB,CountVectorizer,0.151343,Nomenclature,0.07142857142857142,0.008403361344537815,0.015037593984962407,119
BernoulliNB,TfidfVectorizer,0.150761,Description,0.6,0.7115384615384616,0.6510263929618768,156
BernoulliNB,TfidfVectorizer,0.150761,Misc-exposition,0.9230769230769231,0.9574155653450808,0.9399327246516098,2043
BernoulliNB,TfidfVectorizer,0.150761,Nomenclature,0.07142857142857142,0.008403361344537815,0.015037593984962407,119
RandomForestClassifier,CountVectorizer,0.802863,Description,0.9296875,0.7628205128205128,0.8380281690140845,156
RandomForestClassifier,CountVectorizer,0.802863,Misc-exposition,0.9571361281205841,0.9946157611355849,0.9755160825732118,2043
RandomForestClassifier,CountVectorizer,0.802863,Nomenclature,0.9701492537313433,0.5462184873949579,0.6989247311827957,119
RandomForestClassifier,TfidfVectorizer,0.815087,Description,0.9448818897637795,0.7692307692307693,0.8480565371024735,156
RandomForestClassifier,TfidfVectorizer,0.815087,Misc-exposition,0.9630331753554502,0.9946157611355849,0.9785697086443533,2043
RandomForestClassifier,TfidfVectorizer,0.815087,Nomenclature,0.9506172839506173,0.6470588235294118,0.77,119
AdaBoostClassifier,CountVectorizer,0.660904,Description,0.5795454545454546,0.6538461538461539,0.6144578313253013,156
AdaBoostClassifier,CountVectorizer,0.660904,Misc-exposition,0.9333972208912314,0.9534997552618698,0.9433414043583537,2043
AdaBoostClassifier,CountVectorizer,0.660904,Nomenclature,0.6181818181818182,0.2857142857142857,0.3908045977011494,119
AdaBoostClassifier,TfidfVectorizer,0.877093,Description,0.5828220858895705,0.6089743589743589,0.5956112852664577,156
AdaBoostClassifier,TfidfVectorizer,0.877093,Misc-exposition,0.9464459591041869,0.9515418502202643,0.9489870637051502,2043
AdaBoostClassifier,TfidfVectorizer,0.877093,Nomenclature,0.6831683168316832,0.5798319327731093,0.6272727272727273,119
ExtraTreesClassifier,CountVectorizer,0.422093,Description,0.8280254777070064,0.8333333333333334,0.830670926517572,156
ExtraTreesClassifier,CountVectorizer,0.422093,Misc-exposition,0.9630163304514889,0.9813999021047479,0.9721212121212122,2043
ExtraTreesClassifier,CountVectorizer,0.422093,Nomenclature,0.8607594936708861,0.5714285714285714,0.6868686868686869,119
ExtraTreesClassifier,TfidfVectorizer,0.390026,Description,0.8873239436619719,0.8076923076923077,0.8456375838926176,156
ExtraTreesClassifier,TfidfVectorizer,0.390026,Misc-exposition,0.9623988576868158,0.9897209985315712,0.9758687258687259,2043
ExtraTreesClassifier,TfidfVectorizer,0.390026,Nomenclature,0.9333333333333333,0.5882352941176471,0.7216494845360826,119
GradientBoostingClassifier,CountVectorizer,4.739856,Description,0.8560606060606061,0.7243589743589743,0.7847222222222222,156
GradientBoostingClassifier,CountVectorizer,4.739856,Misc-exposition,0.9524258125294395,0.9897209985315712,0.970715314450312,2043
GradientBoostingClassifier,CountVectorizer,4.739856,Nomenclature,0.9523809523809523,0.5042016806722689,0.6593406593406593,119
GradientBoostingClassifier,TfidfVectorizer,7.786701,Description,0.8872180451127819,0.7564102564102564,0.8166089965397924,156
GradientBoostingClassifier,TfidfVectorizer,7.786701,Misc-exposition,0.9610266159695817,0.9897209985315712,0.9751627682662166,2043
GradientBoostingClassifier,TfidfVectorizer,7.786701,Nomenclature,0.9135802469135802,0.6218487394957983,0.7399999999999999,119
DecisionTreeClassifier,CountVectorizer,0.353947,Description,0.7325581395348837,0.8076923076923077,0.7682926829268293,156
DecisionTreeClassifier,CountVectorizer,0.353947,Misc-exposition,0.9696227339539442,0.9686735193343123,0.9691478942213517,2043
DecisionTreeClassifier,CountVectorizer,0.353947,Nomenclature,0.8285714285714286,0.7310924369747899,0.7767857142857143,119
DecisionTreeClassifier,TfidfVectorizer,0.487343,Description,0.7682926829268293,0.8076923076923077,0.7875,156
DecisionTreeClassifier,TfidfVectorizer,0.487343,Misc-exposition,0.9714847590953786,0.9672050905531082,0.9693402011282807,2043
DecisionTreeClassifier,TfidfVectorizer,0.487343,Nomenclature,0.7583333333333333,0.7647058823529411,0.7615062761506276,119
CalibratedClassifierCV,CountVectorizer,0.364486,Description,0.9666666666666667,0.7435897435897436,0.8405797101449275,156
CalibratedClassifierCV,CountVectorizer,0.364486,Misc-exposition,0.9520451339915373,0.9911894273127754,0.9712230215827338,2043
CalibratedClassifierCV,CountVectorizer,0.364486,Nomenclature,0.8028169014084507,0.4789915966386555,0.6000000000000001,119
CalibratedClassifierCV,TfidfVectorizer,0.258891,Description,0.9440559440559441,0.8653846153846154,0.903010033444816,156
CalibratedClassifierCV,TfidfVectorizer,0.258891,Misc-exposition,0.9716346153846154,0.9892315222711698,0.9803541110841619,2043
CalibratedClassifierCV,TfidfVectorizer,0.258891,Nomenclature,0.8526315789473684,0.680672268907563,0.7570093457943926,119
DummyClassifier,CountVectorizer,0.140541,Description,0.040268456375838924,0.038461538461538464,0.039344262295081964,156
DummyClassifier,CountVectorizer,0.140541,Misc-exposition,0.8828390860476422,0.8888888888888888,0.8858536585365854,2043
