classifier,vectorizer,time,label,precision,recall,f1,support
BernoulliNB,CountVectorizer,0.438473,Description,0.5597609561752988,0.707808564231738,0.625139043381535,397
BernoulliNB,CountVectorizer,0.438473,Misc-exposition,0.9200531993497857,0.9610991046619327,0.9401283503208758,6478
BernoulliNB,CountVectorizer,0.438473,Nomenclature,0.7947019867549668,0.22018348623853212,0.3448275862068965,545
BernoulliNB,TfidfVectorizer,0.441600,Description,0.5597609561752988,0.707808564231738,0.625139043381535,397
BernoulliNB,TfidfVectorizer,0.441600,Misc-exposition,0.9200531993497857,0.9610991046619327,0.9401283503208758,6478
BernoulliNB,TfidfVectorizer,0.441600,Nomenclature,0.7947019867549668,0.22018348623853212,0.3448275862068965,545
RandomForestClassifier,CountVectorizer,4.078157,Description,0.926605504587156,0.7632241813602015,0.8370165745856354,397
RandomForestClassifier,CountVectorizer,4.078157,Misc-exposition,0.9684813753581661,0.9913553565915406,0.9797848806163704,6478
RandomForestClassifier,CountVectorizer,4.078157,Nomenclature,0.9307359307359307,0.7889908256880734,0.8540218470705064,545
RandomForestClassifier,TfidfVectorizer,3.503095,Description,0.9353846153846154,0.7657430730478589,0.8421052631578948,397
RandomForestClassifier,TfidfVectorizer,3.503095,Misc-exposition,0.9700346333383526,0.9944427292374189,0.9820870493177833,6478
RandomForestClassifier,TfidfVectorizer,3.503095,Nomenclature,0.9669603524229075,0.8055045871559633,0.8788788788788788,545
AdaBoostClassifier,CountVectorizer,1.980083,Description,0.559322033898305,0.7481108312342569,0.6400862068965517,397
AdaBoostClassifier,CountVectorizer,1.980083,Misc-exposition,0.9523215955126207,0.943501080580426,0.9478908188585607,6478
AdaBoostClassifier,CountVectorizer,1.980083,Nomenclature,0.7176220806794055,0.6201834862385321,0.6653543307086615,545
AdaBoostClassifier,TfidfVectorizer,2.713874,Description,0.6131687242798354,0.7506297229219143,0.6749716874292185,397
AdaBoostClassifier,TfidfVectorizer,2.713874,Misc-exposition,0.9495258488834506,0.9583204692806422,0.9539028887523049,6478
AdaBoostClassifier,TfidfVectorizer,2.713874,Nomenclature,0.7929292929292929,0.5761467889908257,0.667375132837407,545
ExtraTreesClassifier,CountVectorizer,2.456696,Description,0.8394736842105263,0.8035264483627204,0.8211068211068211,397
ExtraTreesClassifier,CountVectorizer,2.456696,Misc-exposition,0.9640582347588716,0.9813213954924359,0.9726132190942471,6478
ExtraTreesClassifier,CountVectorizer,2.456696,Nomenclature,0.8632286995515696,0.7064220183486238,0.7769929364278507,545
ExtraTreesClassifier,TfidfVectorizer,2.173338,Description,0.8807588075880759,0.818639798488665,0.8485639686684073,397
ExtraTreesClassifier,TfidfVectorizer,2.173338,Misc-exposition,0.9667019827455728,0.9859524544612535,0.9762323270920903,6478
ExtraTreesClassifier,TfidfVectorizer,2.173338,Nomenclature,0.8941441441441441,0.728440366972477,0.8028311425682507,545
GradientBoostingClassifier,CountVectorizer,12.812041,Description,0.9009287925696594,0.7329974811083123,0.8083333333333333,397
GradientBoostingClassifier,CountVectorizer,12.812041,Misc-exposition,0.9622584993260447,0.9918184624884223,0.9768148992778412,6478
GradientBoostingClassifier,CountVectorizer,12.812041,Nomenclature,0.9476190476190476,0.7302752293577982,0.8248704663212436,545
GradientBoostingClassifier,TfidfVectorizer,22.556651,Description,0.9326923076923077,0.7329974811083123,0.8208744710860367,397
GradientBoostingClassifier,TfidfVectorizer,22.556651,Misc-exposition,0.9643552493634866,0.9939796233405372,0.9789433675408589,6478
GradientBoostingClassifier,TfidfVectorizer,22.556651,Nomenclature,0.9582366589327146,0.7577981651376147,0.846311475409836,545
DecisionTreeClassifier,CountVectorizer,1.636550,Description,0.8102564102564103,0.7959697732997482,0.8030495552731893,397
DecisionTreeClassifier,CountVectorizer,1.636550,Misc-exposition,0.9744103591798983,0.9757641247298549,0.9750867720786732,6478
DecisionTreeClassifier,CountVectorizer,1.636550,Nomenclature,0.8453038674033149,0.8422018348623853,0.84375,545
DecisionTreeClassifier,TfidfVectorizer,3.075683,Description,0.7939698492462312,0.7959697732997482,0.7949685534591195,397
DecisionTreeClassifier,TfidfVectorizer,3.075683,Misc-exposition,0.9733704907880477,0.9705155912318617,0.9719409445775682,6478
DecisionTreeClassifier,TfidfVectorizer,3.075683,Nomenclature,0.8010657193605684,0.8275229357798165,0.8140794223826715,545
CalibratedClassifierCV,CountVectorizer,1.745162,Description,0.9307958477508651,0.6775818639798489,0.7842565597667639,397
CalibratedClassifierCV,CountVectorizer,1.745162,Misc-exposition,0.9601498127340824,0.9893485643717197,0.9745305253554323,6478
CalibratedClassifierCV,CountVectorizer,1.745162,Nomenclature,0.8925438596491229,0.7467889908256881,0.8131868131868131,545
CalibratedClassifierCV,TfidfVectorizer,0.773338,Description,0.9255014326647565,0.8136020151133502,0.8659517426273459,397
CalibratedClassifierCV,TfidfVectorizer,0.773338,Misc-exposition,0.9745504419384334,0.9871874035196048,0.9808282208588958,6478
CalibratedClassifierCV,TfidfVectorizer,0.773338,Nomenclature,0.888015717092338,0.8293577981651377,0.8576850094876661,545
DummyClassifier,CountVectorizer,0.396975,Description,0.038929440389294405,0.04030226700251889,0.039603960396039604,397
DummyClassifier,CountVectorizer,0.396975,Misc-exposition,0.8735024117006379,0.866625501698055,0.8700503680743897,6478
DummyClassifier,CountVectorizer,0.396975,Nomenclature,0.08075601374570447,0.08623853211009175,0.08340727595385981,545
DummyClassifier,TfidfVectorizer,0.416218,Description,0.038929440389294405,0.04030226700251889,0.039603960396039604,397
DummyClassifier,TfidfVectorizer,0.416218,Misc-exposition,0.8735024117006379,0.866625501698055,0.8700503680743897,6478
DummyClassifier,TfidfVectorizer,0.416218,Nomenclature,0.08075601374570447,0.08623853211009175,0.08340727595385981,545
PassiveAggressiveClassifier,CountVectorizer,0.441728,Description,0.9017341040462428,0.7858942065491183,0.8398384925975774,397
PassiveAggressiveClassifier,CountVectorizer,0.441728,Misc-exposition,0.9765337423312883,0.9828650818153751,0.9796891829512232,6478
PassiveAggressiveClassifier,CountVectorizer,0.441728,Nomenclature,0.8592057761732852,0.8733944954128441,0.8662420382165605,545
PassiveAggressiveClassifier,TfidfVectorizer,0.444354,Description,0.9166666666666666,0.8312342569269522,0.8718626155878467,397
PassiveAggressiveClassifier,TfidfVectorizer,0.444354,Misc-exposition,0.9749503589430274,0.9853349799320777,0.9801151631477928,6478
PassiveAggressiveClassifier,TfidfVectorizer,0.444354,Nomenclature,0.8732943469785575,0.8220183486238533,0.8468809073724007,545
RidgeClassifier,CountVectorizer,6.935831,Description,0.9181494661921709,0.6498740554156172,0.7610619469026548,397
RidgeClassifier,CountVectorizer,6.935831,Misc-exposition,0.9448632668144863,0.9867242976227231,0.9653401797175867,6478
RidgeClassifier,CountVectorizer,6.935831,Nomenclature,0.8288770053475936,0.5688073394495413,0.674646354733406,545
RidgeClassifier,TfidfVectorizer,0.886402,Description,0.9461077844311377,0.7959697732997482,0.8645690834473324,397
RidgeClassifier,TfidfVectorizer,0.886402,Misc-exposition,0.9666616382561473,0.9891941957394258,0.9777981231403068,6478
RidgeClassifier,TfidfVectorizer,0.886402,Nomenclature,0.8862144420131292,0.7431192660550459,0.8083832335329341,545
