classifier,vectorizer,time,label,precision,recall,f1,support
BernoulliNB,CountVectorizer,0.967114,Description,0.6481481481481481,0.7041420118343196,0.6749858196256382,845
BernoulliNB,CountVectorizer,0.967114,Misc-exposition,0.9239495798319328,0.968040147913365,0.9454811247742712,11358
BernoulliNB,CountVectorizer,0.967114,Nomenclature,0.8753623188405797,0.3145833333333333,0.4628352490421457,960
BernoulliNB,TfidfVectorizer,1.003422,Description,0.6481481481481481,0.7041420118343196,0.6749858196256382,845
BernoulliNB,TfidfVectorizer,1.003422,Misc-exposition,0.9239495798319328,0.968040147913365,0.9454811247742712,11358
BernoulliNB,TfidfVectorizer,1.003422,Nomenclature,0.8753623188405797,0.3145833333333333,0.4628352490421457,960
RandomForestClassifier,CountVectorizer,13.120834,Description,0.9417613636363636,0.7846153846153846,0.8560361523563589,845
RandomForestClassifier,CountVectorizer,13.120834,Misc-exposition,0.9678056318681318,0.9925162880788871,0.9800052160306008,11358
RandomForestClassifier,CountVectorizer,13.120834,Nomenclature,0.9457459926017263,0.7989583333333333,0.8661773009599096,960
RandomForestClassifier,TfidfVectorizer,10.868869,Description,0.945480631276901,0.7798816568047338,0.8547341115434501,845
RandomForestClassifier,TfidfVectorizer,10.868869,Misc-exposition,0.9677142366477761,0.9922521570699067,0.9798295948530691,11358
RandomForestClassifier,TfidfVectorizer,10.868869,Nomenclature,0.9390243902439024,0.8020833333333334,0.8651685393258427,960
AdaBoostClassifier,CountVectorizer,4.148046,Description,0.6149369544131911,0.7502958579881657,0.67590618336887,845
AdaBoostClassifier,CountVectorizer,4.148046,Misc-exposition,0.9457863187588152,0.9446205317837647,0.9452030658091798,11358
AdaBoostClassifier,CountVectorizer,4.148046,Nomenclature,0.7030456852791879,0.5770833333333333,0.6338672768878718,960
AdaBoostClassifier,TfidfVectorizer,5.847072,Description,0.6396761133603239,0.7479289940828402,0.6895799236224769,845
AdaBoostClassifier,TfidfVectorizer,5.847072,Misc-exposition,0.9458744710860366,0.9447085754534249,0.9452911637741167,11358
AdaBoostClassifier,TfidfVectorizer,5.847072,Nomenclature,0.6678700361010831,0.578125,0.6197654941373534,960
ExtraTreesClassifier,CountVectorizer,7.380974,Description,0.8782936010037641,0.8284023668639053,0.8526187576126675,845
ExtraTreesClassifier,CountVectorizer,7.380974,Misc-exposition,0.9664736887583167,0.9847684451487938,0.9755353015568445,11358
ExtraTreesClassifier,CountVectorizer,7.380974,Nomenclature,0.9041614123581336,0.746875,0.8180262407301768,960
ExtraTreesClassifier,TfidfVectorizer,6.581378,Description,0.9028497409326425,0.8248520710059172,0.8620902906617192,845
ExtraTreesClassifier,TfidfVectorizer,6.581378,Misc-exposition,0.9679979297852153,0.9880260609262194,0.9779094592828198,11358
ExtraTreesClassifier,TfidfVectorizer,6.581378,Nomenclature,0.9235588972431078,0.7677083333333333,0.838452787258248,960
GradientBoostingClassifier,CountVectorizer,26.625518,Description,0.9373996789727127,0.6911242603550296,0.7956403269754769,845
GradientBoostingClassifier,CountVectorizer,26.625518,Misc-exposition,0.9499325691166555,0.9922521570699067,0.970631297907157,11358
GradientBoostingClassifier,CountVectorizer,26.625518,Nomenclature,0.9245562130177515,0.6510416666666666,0.7640586797066014,960
GradientBoostingClassifier,TfidfVectorizer,51.245409,Description,0.9414556962025317,0.7041420118343196,0.8056872037914692,845
GradientBoostingClassifier,TfidfVectorizer,51.245409,Misc-exposition,0.9554573274396464,0.9896108469801022,0.9722342357927516,11358
GradientBoostingClassifier,TfidfVectorizer,51.245409,Nomenclature,0.894393741851369,0.7145833333333333,0.7944412275622468,960
DecisionTreeClassifier,CountVectorizer,5.902496,Description,0.8209500609013398,0.7976331360946746,0.809123649459784,845
DecisionTreeClassifier,CountVectorizer,5.902496,Misc-exposition,0.9722782700236863,0.9757879908434584,0.9740299688008085,11358
DecisionTreeClassifier,CountVectorizer,5.902496,Nomenclature,0.8621420996818664,0.846875,0.8544403573305307,960
DecisionTreeClassifier,TfidfVectorizer,9.834325,Description,0.7980769230769231,0.7857988165680473,0.7918902802623732,845
