Annotated,Classifier,Vectorizer,time,label,precision,recall,f1,support 
annotated,BernoulliNB,CountVectorizer,0.1190788745880127,Description,0.68,0.56,0.62,57
annotated,BernoulliNB,CountVectorizer,0.1190788745880127,Misc-exposition,0.87,0.98,0.92,667
annotated,BernoulliNB,CountVectorizer,0.1190788745880127,Nomenclature,0.00,0.00,0.00,75
annotated,BernoulliNB,TfidfVectorizer,0.12169766426086426,Description,0.68,0.56,0.62,57
annotated,BernoulliNB,TfidfVectorizer,0.12169766426086426,Misc-exposition,0.87,0.98,0.92,667
annotated,BernoulliNB,TfidfVectorizer,0.12169766426086426,Nomenclature,0.00,0.00,0.00,75
annotated,RandomForestClassifier,CountVectorizer,0.5075581073760986,Description,0.96,0.75,0.84,57
annotated,RandomForestClassifier,CountVectorizer,0.5075581073760986,Misc-exposition,0.94,1.00,0.97,667
annotated,RandomForestClassifier,CountVectorizer,0.5075581073760986,Nomenclature,0.98,0.64,0.77,75
annotated,RandomForestClassifier,TfidfVectorizer,0.4874997138977051,Description,0.98,0.75,0.85,57
annotated,RandomForestClassifier,TfidfVectorizer,0.4874997138977051,Misc-exposition,0.94,1.00,0.97,667
annotated,RandomForestClassifier,TfidfVectorizer,0.4874997138977051,Nomenclature,1.00,0.59,0.74,75
annotated,AdaBoostClassifier,CountVectorizer,0.42733073234558105,Description,0.44,0.81,0.57,57
annotated,AdaBoostClassifier,CountVectorizer,0.42733073234558105,Misc-exposition,0.92,0.85,0.88,667
annotated,AdaBoostClassifier,CountVectorizer,0.42733073234558105,Nomenclature,0.47,0.51,0.49,75
annotated,AdaBoostClassifier,TfidfVectorizer,0.558621883392334,Description,0.65,0.61,0.63,57
annotated,AdaBoostClassifier,TfidfVectorizer,0.558621883392334,Misc-exposition,0.91,0.92,0.91,667
annotated,AdaBoostClassifier,TfidfVectorizer,0.558621883392334,Nomenclature,0.49,0.48,0.49,75
annotated,ExtraTreesClassifier,CountVectorizer,0.22224712371826172,Description,0.87,0.81,0.84,57
annotated,ExtraTreesClassifier,CountVectorizer,0.22224712371826172,Misc-exposition,0.93,0.99,0.96,667
annotated,ExtraTreesClassifier,CountVectorizer,0.22224712371826172,Nomenclature,0.97,0.51,0.67,75
annotated,ExtraTreesClassifier,TfidfVectorizer,0.20285964012145996,Description,0.92,0.77,0.84,57
annotated,ExtraTreesClassifier,TfidfVectorizer,0.20285964012145996,Misc-exposition,0.94,0.99,0.96,667
annotated,ExtraTreesClassifier,TfidfVectorizer,0.20285964012145996,Nomenclature,0.96,0.61,0.75,75
annotated,GradientBoostingClassifier,CountVectorizer,3.492633104324341,Description,0.89,0.74,0.81,57
annotated,GradientBoostingClassifier,CountVectorizer,3.492633104324341,Misc-exposition,0.94,0.99,0.96,667
annotated,GradientBoostingClassifier,CountVectorizer,3.492633104324341,Nomenclature,1.00,0.60,0.75,75
annotated,GradientBoostingClassifier,TfidfVectorizer,5.2569334506988525,Description,0.97,0.68,0.80,57
annotated,GradientBoostingClassifier,TfidfVectorizer,5.2569334506988525,Misc-exposition,0.94,0.99,0.96,667
annotated,GradientBoostingClassifier,TfidfVectorizer,5.2569334506988525,Nomenclature,0.91,0.64,0.75,75
annotated,DecisionTreeClassifier,CountVectorizer,0.2982046604156494,Description,0.77,0.75,0.76,57
