classifier,vectorizer,time,label,precision,recall,f1,support
BernoulliNB,CountVectorizer,1.845306,Description,0.7210379981464319,0.7298311444652908,0.7254079254079253,1066
BernoulliNB,CountVectorizer,1.845306,Misc-exposition,0.9322651128914785,0.9689629068887207,0.9502598366740905,11889
BernoulliNB,CountVectorizer,1.845306,Nomenclature,0.8903703703703704,0.5198961937716263,0.6564718732932824,1156
BernoulliNB,TfidfVectorizer,1.882439,Description,0.7210379981464319,0.7298311444652908,0.7254079254079253,1066
BernoulliNB,TfidfVectorizer,1.882439,Misc-exposition,0.9322651128914785,0.9689629068887207,0.9502598366740905,11889
BernoulliNB,TfidfVectorizer,1.882439,Nomenclature,0.8903703703703704,0.5198961937716263,0.6564718732932824,1156
RandomForestClassifier,CountVectorizer,13.250402,Description,0.9434364994663821,0.8292682926829268,0.8826759860209685,1066
RandomForestClassifier,CountVectorizer,13.250402,Misc-exposition,0.9715909090909091,0.9924299772899319,0.9818998876544752,11889
RandomForestClassifier,CountVectorizer,13.250402,Nomenclature,0.9631067961165048,0.8581314878892734,0.907593778591034,1156
RandomForestClassifier,TfidfVectorizer,11.292766,Description,0.9458023379383634,0.8348968105065666,0.8868958644743398,1066
RandomForestClassifier,TfidfVectorizer,11.292766,Misc-exposition,0.9704142011834319,0.9931869795609387,0.9816685372240928,11889
RandomForestClassifier,TfidfVectorizer,11.292766,Nomenclature,0.969061876247505,0.8399653979238755,0.8999073215940685,1156
AdaBoostClassifier,CountVectorizer,5.519257,Description,0.7123161764705882,0.7270168855534709,0.7195914577530176,1066
AdaBoostClassifier,CountVectorizer,5.519257,Misc-exposition,0.9474815978827227,0.9635797796282278,0.955462885738115,11889
AdaBoostClassifier,CountVectorizer,5.519257,Nomenclature,0.8658798283261803,0.6980968858131488,0.7729885057471264,1156
AdaBoostClassifier,TfidfVectorizer,7.810416,Description,0.6746575342465754,0.7392120075046904,0.7054610564010744,1066
AdaBoostClassifier,TfidfVectorizer,7.810416,Misc-exposition,0.9518908969210174,0.9569349819160569,0.9544062749045761,11889
AdaBoostClassifier,TfidfVectorizer,7.810416,Nomenclature,0.863773965691221,0.740484429065744,0.7973917093619003,1156
ExtraTreesClassifier,CountVectorizer,8.280110,Description,0.8592870544090057,0.8592870544090057,0.8592870544090057,1066
ExtraTreesClassifier,CountVectorizer,8.280110,Misc-exposition,0.9700598802395209,0.9810749432248297,0.9755363191569439,11889
ExtraTreesClassifier,CountVectorizer,8.280110,Nomenclature,0.9245837414299706,0.8166089965397924,0.8672485071198897,1156
ExtraTreesClassifier,TfidfVectorizer,7.681741,Description,0.90625,0.8705440900562852,0.8880382775119617,1066
ExtraTreesClassifier,TfidfVectorizer,7.681741,Misc-exposition,0.9718612927253165,0.9877197409370005,0.9797263474053063,11889
ExtraTreesClassifier,TfidfVectorizer,7.681741,Nomenclature,0.9492031872509961,0.8243944636678201,0.8824074074074073,1156
GradientBoostingClassifier,CountVectorizer,35.251023,Description,0.9274193548387096,0.7551594746716698,0.8324715615305067,1066
GradientBoostingClassifier,CountVectorizer,35.251023,Misc-exposition,0.9558024491119942,0.9913365295651443,0.9732452518579687,11889
GradientBoostingClassifier,CountVectorizer,35.251023,Nomenclature,0.9550438596491229,0.7534602076124568,0.8423597678916828,1156
GradientBoostingClassifier,TfidfVectorizer,67.708561,Description,0.9221357063403782,0.7776735459662288,0.8437659033078879,1066
GradientBoostingClassifier,TfidfVectorizer,67.708561,Misc-exposition,0.9590657552083334,0.9912524182016991,0.9748934938164371,11889
GradientBoostingClassifier,TfidfVectorizer,67.708561,Nomenclature,0.9621212121212122,0.7690311418685121,0.8548076923076923,1156
DecisionTreeClassifier,CountVectorizer,8.313368,Description,0.8214607754733995,0.8545966228893058,0.8377011494252874,1066
DecisionTreeClassifier,CountVectorizer,8.313368,Misc-exposition,0.9730206757438224,0.9737572546050971,0.9733888258292344,11889
DecisionTreeClassifier,CountVectorizer,8.313368,Nomenclature,0.8958333333333334,0.8555363321799307,0.8752212389380531,1156
DecisionTreeClassifier,TfidfVectorizer,13.619940,Description,0.821626617375231,0.8339587242026266,0.8277467411545624,1066
DecisionTreeClassifier,TfidfVectorizer,13.619940,Misc-exposition,0.9711473755047106,0.9710656909748507,0.9711065315220592,11889
DecisionTreeClassifier,TfidfVectorizer,13.619940,Nomenclature,0.8641542506573181,0.8529411764705882,0.8585111014366563,1156
CalibratedClassifierCV,CountVectorizer,6.594378,Description,0.9348314606741573,0.7804878048780488,0.850715746421268,1066
CalibratedClassifierCV,CountVectorizer,6.594378,Misc-exposition,0.9631479813283106,0.9892337454790142,0.9760165975103734,11889
CalibratedClassifierCV,CountVectorizer,6.594378,Nomenclature,0.9297029702970298,0.8122837370242214,0.8670360110803325,1156
CalibratedClassifierCV,TfidfVectorizer,2.630466,Description,0.9340551181102362,0.8902439024390244,0.9116234390009607,1066
CalibratedClassifierCV,TfidfVectorizer,2.630466,Misc-exposition,0.9775056235941014,0.9868786273025486,0.9821697639377197,11889
CalibratedClassifierCV,TfidfVectorizer,2.630466,Nomenclature,0.9175824175824175,0.8667820069204152,0.891459074733096,1156
DummyClassifier,CountVectorizer,1.727870,Description,0.08653846153846154,0.09287054409005628,0.08959276018099548,1066
DummyClassifier,CountVectorizer,1.727870,Misc-exposition,0.8443128964059197,0.8397678526368912,0.8420342413764021,11889
DummyClassifier,CountVectorizer,1.727870,Nomenclature,0.08056042031523643,0.07958477508650519,0.08006962576153177,1156
DummyClassifier,TfidfVectorizer,1.767820,Description,0.08653846153846154,0.09287054409005628,0.08959276018099548,1066
DummyClassifier,TfidfVectorizer,1.767820,Misc-exposition,0.8443128964059197,0.8397678526368912,0.8420342413764021,11889
DummyClassifier,TfidfVectorizer,1.767820,Nomenclature,0.08056042031523643,0.07958477508650519,0.08006962576153177,1156
PassiveAggressiveClassifier,CountVectorizer,1.851220,Description,0.8571428571428571,0.9118198874296435,0.8836363636363636,1066
PassiveAggressiveClassifier,CountVectorizer,1.851220,Misc-exposition,0.9836121253290312,0.9743460341492136,0.97895715372264,11889
PassiveAggressiveClassifier,CountVectorizer,1.851220,Nomenclature,0.8758333333333334,0.9091695501730104,0.8921901528013583,1156
PassiveAggressiveClassifier,TfidfVectorizer,1.852720,Description,0.9117647058823529,0.9015009380863039,0.9066037735849055,1066
PassiveAggressiveClassifier,TfidfVectorizer,1.852720,Misc-exposition,0.9811733064380568,0.9819160568592817,0.9815445411359146,11889
PassiveAggressiveClassifier,TfidfVectorizer,1.852720,Nomenclature,0.8921484037963762,0.8944636678200693,0.8933045356371491,1156
RidgeClassifier,CountVectorizer,12.522271,Description,0.9296296296296296,0.7063789868667918,0.8027718550106611,1066
RidgeClassifier,CountVectorizer,12.522271,Misc-exposition,0.9469219583131362,0.9858692909412061,0.9660032142415625,11889
RidgeClassifier,CountVectorizer,12.522271,Nomenclature,0.8732394366197183,0.6972318339100346,0.7753727753727755,1156
RidgeClassifier,TfidfVectorizer,2.800029,Description,0.9432048681541582,0.8724202626641651,0.9064327485380117,1066
RidgeClassifier,TfidfVectorizer,2.800029,Misc-exposition,0.971430930558996,0.989570190932795,0.9804166666666667,11889
RidgeClassifier,TfidfVectorizer,2.800029,Nomenclature,0.9329388560157791,0.8183391003460208,0.8718894009216589,1156
SGDClassifier,CountVectorizer,1.819899,Description,0.8398607484769365,0.9052532833020638,0.871331828442438,1066
SGDClassifier,CountVectorizer,1.819899,Misc-exposition,0.9850232398003098,0.9625704432668853,0.9736674182158506,11889
SGDClassifier,CountVectorizer,1.819899,Nomenclature,0.8020833333333334,0.9325259515570934,0.8624,1156
SGDClassifier,TfidfVectorizer,1.869123,Description,0.9288659793814433,0.8452157598499062,0.8850687622789783,1066
SGDClassifier,TfidfVectorizer,1.869123,Misc-exposition,0.9682735887927483,0.988308520481117,0.9781884781884782,11889
SGDClassifier,TfidfVectorizer,1.869123,Nomenclature,0.9294234592445328,0.8088235294117647,0.8649398704902869,1156
OneVsRestClassifier,CountVectorizer,183.091805,Description,0.8696060037523452,0.8696060037523452,0.8696060037523452,1066
OneVsRestClassifier,CountVectorizer,183.091805,Misc-exposition,0.9784566186989817,0.9779628227773572,0.9782096584216725,11889
OneVsRestClassifier,CountVectorizer,183.091805,Nomenclature,0.8889845094664371,0.893598615916955,0.8912855910267472,1156
OneVsRestClassifier,TfidfVectorizer,181.261378,Description,0.931237721021611,0.8893058161350844,0.90978886756238,1066
OneVsRestClassifier,TfidfVectorizer,181.261378,Misc-exposition,0.9764637391882901,0.9875515182101102,0.9819763308660563,11889
OneVsRestClassifier,TfidfVectorizer,181.261378,Nomenclature,0.9270346117867165,0.8572664359861591,0.8907865168539326,1156
OneVsRestClassifier,CountVectorizer,11.046458,Description,0.9005847953216374,0.8667917448405253,0.8833652007648184,1066
OneVsRestClassifier,CountVectorizer,11.046458,Misc-exposition,0.9760693738013841,0.9846076204895281,0.9803199062055105,11889
OneVsRestClassifier,CountVectorizer,11.046458,Nomenclature,0.9230769230769231,0.8719723183391004,0.896797153024911,1156
OneVsRestClassifier,TfidfVectorizer,2.644240,Description,0.9281828073993471,0.800187617260788,0.8594458438287154,1066
OneVsRestClassifier,TfidfVectorizer,2.644240,Misc-exposition,0.9567374156298284,0.989570190932795,0.9728768709170595,11889
OneVsRestClassifier,TfidfVectorizer,2.644240,Nomenclature,0.9329608938547486,0.722318339100346,0.8142369575816675,1156
