classifier,vectorizer,time,label,precision,recall,f1,support
BernoulliNB,CountVectorizer,0.949238,Description,0.694344163658243,0.7053789731051344,0.6998180715585203,818
BernoulliNB,CountVectorizer,0.949238,Misc-exposition,0.9011882426516573,0.9721472629144179,0.935323844406324,10376
BernoulliNB,CountVectorizer,0.949238,Nomenclature,0.6484375,0.08663883089770355,0.15285451197053407,958
BernoulliNB,TfidfVectorizer,0.958670,Description,0.694344163658243,0.7053789731051344,0.6998180715585203,818
BernoulliNB,TfidfVectorizer,0.958670,Misc-exposition,0.9011882426516573,0.9721472629144179,0.935323844406324,10376
BernoulliNB,TfidfVectorizer,0.958670,Nomenclature,0.6484375,0.08663883089770355,0.15285451197053407,958
RandomForestClassifier,CountVectorizer,15.877190,Description,0.9361702127659575,0.8068459657701712,0.8667104399212082,818
RandomForestClassifier,CountVectorizer,15.877190,Misc-exposition,0.9554851927733283,0.9888203546646106,0.9718670076726343,10376
RandomForestClassifier,CountVectorizer,15.877190,Nomenclature,0.8998589562764457,0.6659707724425887,0.7654469106178764,958
RandomForestClassifier,TfidfVectorizer,12.299764,Description,0.9475218658892128,0.7946210268948656,0.8643617021276596,818
RandomForestClassifier,TfidfVectorizer,12.299764,Misc-exposition,0.9544188637207576,0.9908442559753277,0.9722905239266125,10376
RandomForestClassifier,TfidfVectorizer,12.299764,Nomenclature,0.9149855907780979,0.662839248434238,0.7687651331719128,958
AdaBoostClassifier,CountVectorizer,3.822946,Description,0.5069501226492232,0.7579462102689487,0.6075453209211171,818
AdaBoostClassifier,CountVectorizer,3.822946,Misc-exposition,0.9212080792682927,0.9318619892058597,0.9265044078190879,10376
AdaBoostClassifier,CountVectorizer,3.822946,Nomenclature,0.7505773672055427,0.33924843423799583,0.4672897196261682,958
AdaBoostClassifier,TfidfVectorizer,5.269182,Description,0.5413005272407733,0.7530562347188264,0.6298568507157465,818
AdaBoostClassifier,TfidfVectorizer,5.269182,Misc-exposition,0.9235505873436908,0.9395720894371626,0.931492451748519,10376
AdaBoostClassifier,TfidfVectorizer,5.269182,Nomenclature,0.7620087336244541,0.36430062630480164,0.49293785310734456,958
ExtraTreesClassifier,CountVectorizer,9.107557,Description,0.8847631241997439,0.8447432762836186,0.8642901813633521,818
ExtraTreesClassifier,CountVectorizer,9.107557,Misc-exposition,0.9525999624554158,0.9781225905936777,0.9651925820256776,10376
ExtraTreesClassifier,CountVectorizer,9.107557,Nomenclature,0.803347280334728,0.6012526096033403,0.6877611940298507,958
ExtraTreesClassifier,TfidfVectorizer,7.320365,Description,0.8837516512549538,0.8178484107579462,0.8495238095238095,818
ExtraTreesClassifier,TfidfVectorizer,7.320365,Misc-exposition,0.9538173302107729,0.9813030069390902,0.967364970785236,10376
ExtraTreesClassifier,TfidfVectorizer,7.320365,Nomenclature,0.85,0.6388308977035491,0.729439809296782,958
