classifier,vectorizer,time,label,precision,recall,f1,support
BernoulliNB,CountVectorizer,1.365536,Description,0.6975903614457831,0.7078239608801956,0.7026699029126213,818
BernoulliNB,CountVectorizer,1.365536,Misc-exposition,0.9146850608095843,0.9712798766383963,0.9421333084042256,10376
BernoulliNB,CountVectorizer,1.365536,Nomenclature,0.8157894736842105,0.2588726513569937,0.39302694136291594,958
BernoulliNB,TfidfVectorizer,1.402291,Description,0.6975903614457831,0.7078239608801956,0.7026699029126213,818
BernoulliNB,TfidfVectorizer,1.402291,Misc-exposition,0.9146850608095843,0.9712798766383963,0.9421333084042256,10376
BernoulliNB,TfidfVectorizer,1.402291,Nomenclature,0.8157894736842105,0.2588726513569937,0.39302694136291594,958
RandomForestClassifier,CountVectorizer,14.586683,Description,0.9345403899721448,0.8202933985330073,0.8736979166666666,818
RandomForestClassifier,CountVectorizer,14.586683,Misc-exposition,0.9641782625047011,0.9883384734001542,0.976108890158005,10376
RandomForestClassifier,CountVectorizer,14.586683,Nomenclature,0.9072681704260651,0.755741127348643,0.8246013667425968,958
RandomForestClassifier,TfidfVectorizer,11.910528,Description,0.9488636363636364,0.8166259168704156,0.8777923784494087,818
RandomForestClassifier,TfidfVectorizer,11.910528,Misc-exposition,0.9650060981330331,0.9913261372397841,0.9779890658426432,10376
RandomForestClassifier,TfidfVectorizer,11.910528,Nomenclature,0.9315589353612167,0.767223382045929,0.8414424728105324,958
AdaBoostClassifier,CountVectorizer,4.264124,Description,0.5047095761381476,0.7860635696821516,0.6147227533460804,818
AdaBoostClassifier,CountVectorizer,4.264124,Misc-exposition,0.9266960521272518,0.9320547417116423,0.9293676724966365,10376
AdaBoostClassifier,CountVectorizer,4.264124,Nomenclature,0.8190045248868778,0.3778705636743215,0.5171428571428571,958
AdaBoostClassifier,TfidfVectorizer,5.760363,Description,0.6592356687898089,0.7591687041564792,0.7056818181818181,818
AdaBoostClassifier,TfidfVectorizer,5.760363,Misc-exposition,0.9471462829736211,0.9516191210485736,0.9493774337772222,10376
AdaBoostClassifier,TfidfVectorizer,5.760363,Nomenclature,0.7643312101910829,0.6263048016701461,0.6884681583476764,958
ExtraTreesClassifier,CountVectorizer,8.287915,Description,0.8583535108958837,0.8667481662591687,0.8625304136253041,818
ExtraTreesClassifier,CountVectorizer,8.287915,Misc-exposition,0.961607735330363,0.9776407093292213,0.969557945041816,10376
ExtraTreesClassifier,CountVectorizer,8.287915,Nomenclature,0.8494208494208494,0.6889352818371608,0.760806916426513,958
ExtraTreesClassifier,TfidfVectorizer,6.846884,Description,0.8829516539440203,0.8484107579462102,0.8653366583541146,818
ExtraTreesClassifier,TfidfVectorizer,6.846884,Misc-exposition,0.966745618190431,0.9834232845026986,0.9750131384071472,10376
ExtraTreesClassifier,TfidfVectorizer,6.846884,Nomenclature,0.9013563501849569,0.7630480167014614,0.8264556246466931,958
GradientBoostingClassifier,CountVectorizer,25.869762,Description,0.9079159935379645,0.687041564792176,0.7821851078636047,818
GradientBoostingClassifier,CountVectorizer,25.869762,Misc-exposition,0.9375742619504616,0.9886276021588281,0.9624243561476754,10376
GradientBoostingClassifier,CountVectorizer,25.869762,Nomenclature,0.8952702702702703,0.5532359081419624,0.6838709677419356,958
GradientBoostingClassifier,TfidfVectorizer,46.249367,Description,0.9028213166144201,0.7041564792176039,0.7912087912087913,818
GradientBoostingClassifier,TfidfVectorizer,46.249367,Misc-exposition,0.9425740757728649,0.9902659984579799,0.9658316491986653,10376
GradientBoostingClassifier,TfidfVectorizer,46.249367,Nomenclature,0.933115823817292,0.5970772442588727,0.7281985996180776,958
DecisionTreeClassifier,CountVectorizer,8.090231,Description,0.8112980769230769,0.8251833740831296,0.8181818181818181,818
DecisionTreeClassifier,CountVectorizer,8.090231,Misc-exposition,0.9674835970667696,0.9663646877409406,0.9669238187078111,10376
DecisionTreeClassifier,CountVectorizer,8.090231,Nomenclature,0.7960251046025104,0.7943632567849687,0.7951933124346917,958
DecisionTreeClassifier,TfidfVectorizer,15.010569,Description,0.8027465667915106,0.7860635696821516,0.7943174799258802,818
DecisionTreeClassifier,TfidfVectorizer,15.010569,Misc-exposition,0.965045739046702,0.9658828064764842,0.9654640913250807,10376
DecisionTreeClassifier,TfidfVectorizer,15.010569,Nomenclature,0.7929606625258799,0.7995824634655533,0.7962577962577962,958
CalibratedClassifierCV,CountVectorizer,4.443432,Description,0.9363057324840764,0.7188264058679706,0.8132780082987551,818
CalibratedClassifierCV,CountVectorizer,4.443432,Misc-exposition,0.9577661756479582,0.9900732459521974,0.9736517865605157,10376
CalibratedClassifierCV,CountVectorizer,4.443432,Nomenclature,0.9210526315789473,0.767223382045929,0.8371298405466969,958
CalibratedClassifierCV,TfidfVectorizer,1.982089,Description,0.9338624338624338,0.863080684596577,0.8970775095298603,818
CalibratedClassifierCV,TfidfVectorizer,1.982089,Misc-exposition,0.9727082540890072,0.9858326908249807,0.979226498181122,10376
CalibratedClassifierCV,TfidfVectorizer,1.982089,Nomenclature,0.8897727272727273,0.8173277661795407,0.8520130576713819,958
DummyClassifier,CountVectorizer,1.280834,Description,0.07995226730310262,0.08190709046454768,0.08091787439613526,818
DummyClassifier,CountVectorizer,1.280834,Misc-exposition,0.8540357660705655,0.8514841942945258,0.8527580715216448,10376
DummyClassifier,CountVectorizer,1.280834,Nomenclature,0.07327141382868937,0.07411273486430063,0.07368967306694345,958
DummyClassifier,TfidfVectorizer,1.310310,Description,0.07995226730310262,0.08190709046454768,0.08091787439613526,818
DummyClassifier,TfidfVectorizer,1.310310,Misc-exposition,0.8540357660705655,0.8514841942945258,0.8527580715216448,10376
DummyClassifier,TfidfVectorizer,1.310310,Nomenclature,0.07327141382868937,0.07411273486430063,0.07368967306694345,958
PassiveAggressiveClassifier,CountVectorizer,1.347997,Description,0.9165562913907285,0.8459657701711492,0.8798474253019708,818
PassiveAggressiveClassifier,CountVectorizer,1.347997,Misc-exposition,0.9750023852685813,0.9848689282960679,0.9799108213069954,10376
PassiveAggressiveClassifier,CountVectorizer,1.347997,Nomenclature,0.8951965065502183,0.8559498956158664,0.8751334044823906,958
PassiveAggressiveClassifier,TfidfVectorizer,1.362486,Description,0.9121019108280255,0.8753056234718827,0.8933250155957579,818
PassiveAggressiveClassifier,TfidfVectorizer,1.362486,Misc-exposition,0.9755211321476381,0.983230531996916,0.9793606604588654,10376
PassiveAggressiveClassifier,TfidfVectorizer,1.362486,Nomenclature,0.8822882288228823,0.837160751565762,0.8591322978039635,958
RidgeClassifier,CountVectorizer,13.443038,Description,0.9114139693356048,0.6540342298288508,0.7615658362989324,818
RidgeClassifier,CountVectorizer,13.443038,Misc-exposition,0.9413449104008867,0.9821703932151118,0.9613244033581736,10376
RidgeClassifier,CountVectorizer,13.443038,Nomenclature,0.8146143437077131,0.6283924843423799,0.7094873305833824,958
RidgeClassifier,TfidfVectorizer,2.139317,Description,0.9413369713506139,0.843520782396088,0.8897485493230174,818
RidgeClassifier,TfidfVectorizer,2.139317,Misc-exposition,0.9658748114630468,0.9874710871241326,0.9765535646206633,10376
RidgeClassifier,TfidfVectorizer,2.139317,Nomenclature,0.8927250308261405,0.755741127348643,0.8185415488976823,958
SGDClassifier,CountVectorizer,1.347092,Description,0.9112582781456954,0.8410757946210269,0.8747616020343293,818
SGDClassifier,CountVectorizer,1.347092,Misc-exposition,0.9706105422828972,0.9867000771010023,0.9785891798891225,10376
SGDClassifier,CountVectorizer,1.347092,Nomenclature,0.9140164899882215,0.8100208768267223,0.8588821250691754,958
SGDClassifier,TfidfVectorizer,1.360721,Description,0.9347517730496454,0.8056234718826406,0.865397242284964,818
SGDClassifier,TfidfVectorizer,1.360721,Misc-exposition,0.9591989518996819,0.9878565921356978,0.973316873991074,10376
SGDClassifier,TfidfVectorizer,1.360721,Nomenclature,0.8948751642575559,0.7108559498956158,0.7923211169284468,958
OneVsRestClassifier,CountVectorizer,97.399849,Description,0.86,0.8410757946210269,0.850432632880099,818
OneVsRestClassifier,CountVectorizer,97.399849,Misc-exposition,0.9735378715244487,0.9786044718581342,0.9760645967509373,10376
OneVsRestClassifier,CountVectorizer,97.399849,Nomenclature,0.8785249457700651,0.8455114822546973,0.8617021276595744,958
OneVsRestClassifier,TfidfVectorizer,115.074668,Description,0.9291338582677166,0.8655256723716381,0.8962025316455696,818
OneVsRestClassifier,TfidfVectorizer,115.074668,Misc-exposition,0.9717841535246058,0.9858326908249807,0.9787580135872166,10376
OneVsRestClassifier,TfidfVectorizer,115.074668,Nomenclature,0.8923611111111112,0.8048016701461378,0.8463227222832053,958
OneVsRestClassifier,CountVectorizer,7.258549,Description,0.8976063829787234,0.8251833740831296,0.8598726114649683,818
OneVsRestClassifier,CountVectorizer,7.258549,Misc-exposition,0.9708313539192399,0.9847725520431766,0.9777522606573847,10376
OneVsRestClassifier,CountVectorizer,7.258549,Nomenclature,0.9062857142857143,0.8277661795407099,0.8652482269503547,958
OneVsRestClassifier,TfidfVectorizer,2.036952,Description,0.9326186830015314,0.7444987775061125,0.8280081577158395,818
OneVsRestClassifier,TfidfVectorizer,2.036952,Misc-exposition,0.9483442486855456,0.9908442559753277,0.9691285290097563,10376
OneVsRestClassifier,TfidfVectorizer,2.036952,Nomenclature,0.9224924012158054,0.6336116910229646,0.7512376237623763,958
