classifier,vectorizer,time,label,precision,recall,f1,support
BernoulliNB,CountVectorizer,0.869065,Description,0.6746698679471789,0.687041564792176,0.6807995154451847,818
BernoulliNB,CountVectorizer,0.869065,Misc-exposition,0.912498865389852,0.9688704703161141,0.939840134623475,10376
BernoulliNB,CountVectorizer,0.869065,Nomenclature,0.8013245033112583,0.25260960334029225,0.3841269841269841,958
BernoulliNB,TfidfVectorizer,0.883572,Description,0.6746698679471789,0.687041564792176,0.6807995154451847,818
BernoulliNB,TfidfVectorizer,0.883572,Misc-exposition,0.912498865389852,0.9688704703161141,0.939840134623475,10376
BernoulliNB,TfidfVectorizer,0.883572,Nomenclature,0.8013245033112583,0.25260960334029225,0.3841269841269841,958
RandomForestClassifier,CountVectorizer,13.843342,Description,0.9364406779661016,0.8105134474327629,0.8689384010484927,818
RandomForestClassifier,CountVectorizer,13.843342,Misc-exposition,0.9643327686805948,0.987567463377024,0.9758118274450054,10376
RandomForestClassifier,CountVectorizer,13.843342,Nomenclature,0.8973105134474327,0.7661795407098121,0.8265765765765766,958
RandomForestClassifier,TfidfVectorizer,10.842770,Description,0.9358059914407989,0.8019559902200489,0.8637261356155367,818
RandomForestClassifier,TfidfVectorizer,10.842770,Misc-exposition,0.9642454954954955,0.9902659984579799,0.9770825408900723,10376
RandomForestClassifier,TfidfVectorizer,10.842770,Nomenclature,0.9283018867924528,0.7703549060542797,0.8419851682829436,958
AdaBoostClassifier,CountVectorizer,3.552298,Description,0.47063253012048195,0.7640586797066015,0.5824790307548928,818
AdaBoostClassifier,CountVectorizer,3.552298,Misc-exposition,0.9361179361179361,0.9179838087895142,0.9269621916208457,10376
AdaBoostClassifier,CountVectorizer,3.552298,Nomenclature,0.7673343605546995,0.5198329853862212,0.6197884256378344,958
AdaBoostClassifier,TfidfVectorizer,4.925644,Description,0.5928934010152285,0.7139364303178484,0.6478092068774265,818
AdaBoostClassifier,TfidfVectorizer,4.925644,Misc-exposition,0.9342530922930542,0.9463184271395528,0.9402470554438381,10376
AdaBoostClassifier,TfidfVectorizer,4.925644,Nomenclature,0.756468797564688,0.5187891440501043,0.6154798761609908,958
ExtraTreesClassifier,CountVectorizer,7.170705,Description,0.8743589743589744,0.8337408312958435,0.8535669586983731,818
ExtraTreesClassifier,CountVectorizer,7.170705,Misc-exposition,0.9653234257406879,0.9765805705474171,0.9709193695204331,10376
ExtraTreesClassifier,CountVectorizer,7.170705,Nomenclature,0.8342857142857143,0.7620041753653445,0.7965084560829242,958
ExtraTreesClassifier,TfidfVectorizer,6.234936,Description,0.8924870466321243,0.8422982885085575,0.8666666666666667,818
ExtraTreesClassifier,TfidfVectorizer,6.234936,Misc-exposition,0.9662846860498153,0.9833269082498073,0.9747313112013375,10376
ExtraTreesClassifier,TfidfVectorizer,6.234936,Nomenclature,0.8891595615103532,0.7620041753653445,0.8206857785272624,958
GradientBoostingClassifier,CountVectorizer,22.365415,Description,0.9217252396166135,0.7053789731051344,0.7991689750692521,818
GradientBoostingClassifier,CountVectorizer,22.365415,Misc-exposition,0.9400879443019421,0.9890131071703933,0.9639301145970317,10376
GradientBoostingClassifier,CountVectorizer,22.365415,Nomenclature,0.8918032786885246,0.5678496868475992,0.6938775510204083,958
GradientBoostingClassifier,TfidfVectorizer,41.397085,Description,0.9186991869918699,0.6907090464547677,0.7885554780181436,818
GradientBoostingClassifier,TfidfVectorizer,41.397085,Misc-exposition,0.9383955462261568,0.9909406322282189,0.9639525617587774,10376
GradientBoostingClassifier,TfidfVectorizer,41.397085,Nomenclature,0.9224137931034483,0.558455114822547,0.6957087126137841,958
DecisionTreeClassifier,CountVectorizer,5.325871,Description,0.7979924717691342,0.7775061124694377,0.7876160990712074,818
DecisionTreeClassifier,CountVectorizer,5.325871,Misc-exposition,0.9632684377097919,0.9680030840400925,0.9656299572177091,10376
DecisionTreeClassifier,CountVectorizer,5.325871,Nomenclature,0.8146551724137931,0.7891440501043842,0.8016967126193002,958
DecisionTreeClassifier,TfidfVectorizer,14.734540,Description,0.8076923076923077,0.7701711491442543,0.7884856070087609,818
DecisionTreeClassifier,TfidfVectorizer,14.734540,Misc-exposition,0.9636275928605885,0.9626060138781805,0.9631165324719155,10376
DecisionTreeClassifier,TfidfVectorizer,14.734540,Nomenclature,0.7586891757696127,0.7974947807933194,0.7776081424936386,958
CalibratedClassifierCV,CountVectorizer,5.111602,Description,0.9248,0.706601466992665,0.8011088011088011,818
CalibratedClassifierCV,CountVectorizer,5.111602,Misc-exposition,0.951368909512761,0.987952968388589,0.9693158715899958,10376
CalibratedClassifierCV,CountVectorizer,5.111602,Nomenclature,0.8882978723404256,0.697286012526096,0.7812865497076024,958
CalibratedClassifierCV,TfidfVectorizer,1.495641,Description,0.92904953145917,0.8484107579462102,0.8869009584664537,818
CalibratedClassifierCV,TfidfVectorizer,1.495641,Misc-exposition,0.9674304109070252,0.9847725520431766,0.9760244531473876,10376
CalibratedClassifierCV,TfidfVectorizer,1.495641,Nomenclature,0.8742586002372479,0.7693110647181628,0.8184342032204331,958
DummyClassifier,CountVectorizer,0.792946,Description,0.07995226730310262,0.08190709046454768,0.08091787439613526,818
DummyClassifier,CountVectorizer,0.792946,Misc-exposition,0.8540357660705655,0.8514841942945258,0.8527580715216448,10376
DummyClassifier,CountVectorizer,0.792946,Nomenclature,0.07327141382868937,0.07411273486430063,0.07368967306694345,958
DummyClassifier,TfidfVectorizer,0.804004,Description,0.07995226730310262,0.08190709046454768,0.08091787439613526,818
DummyClassifier,TfidfVectorizer,0.804004,Misc-exposition,0.8540357660705655,0.8514841942945258,0.8527580715216448,10376
DummyClassifier,TfidfVectorizer,0.804004,Nomenclature,0.07327141382868937,0.07411273486430063,0.07368967306694345,958
PassiveAggressiveClassifier,CountVectorizer,0.847646,Description,0.9220963172804533,0.7958435207823961,0.8543307086614174,818
PassiveAggressiveClassifier,CountVectorizer,0.847646,Misc-exposition,0.9675337003987089,0.9822667694680031,0.9748445719751315,10376
PassiveAggressiveClassifier,CountVectorizer,0.847646,Nomenclature,0.8497807017543859,0.8089770354906054,0.8288770053475936,958
PassiveAggressiveClassifier,TfidfVectorizer,0.854125,Description,0.9094437257438551,0.8594132029339854,0.8837209302325583,818
PassiveAggressiveClassifier,TfidfVectorizer,0.854125,Misc-exposition,0.97350549976088,0.980917501927525,0.9771974461139648,10376
PassiveAggressiveClassifier,TfidfVectorizer,0.854125,Nomenclature,0.8582251082251082,0.8277661795407099,0.8427205100956429,958
RidgeClassifier,CountVectorizer,13.225182,Description,0.9111111111111111,0.6515892420537898,0.759800427655025,818
RidgeClassifier,CountVectorizer,13.225182,Misc-exposition,0.9328200898176152,0.980917501927525,0.9562643867148963,10376
RidgeClassifier,CountVectorizer,13.225182,Nomenclature,0.7728658536585366,0.5292275574112735,0.6282527881040892,958
RidgeClassifier,TfidfVectorizer,1.546835,Description,0.9394773039889959,0.8349633251833741,0.8841423948220064,818
RidgeClassifier,TfidfVectorizer,1.546835,Misc-exposition,0.9621098157201956,0.9862181958365459,0.9740148486579099,10376
RidgeClassifier,TfidfVectorizer,1.546835,Nomenclature,0.8745247148288974,0.7202505219206681,0.7899255867200915,958
SGDClassifier,CountVectorizer,0.864839,Description,0.9491525423728814,0.7530562347188264,0.8398091342876619,818
SGDClassifier,CountVectorizer,0.864839,Misc-exposition,0.9561166495853909,0.9890131071703933,0.972286702354446,10376
SGDClassifier,CountVectorizer,0.864839,Nomenclature,0.8922077922077922,0.7171189979123174,0.7951388888888888,958
SGDClassifier,TfidfVectorizer,0.851169,Description,0.9245283018867925,0.7787286063569682,0.8453881884538818,818
SGDClassifier,TfidfVectorizer,0.851169,Misc-exposition,0.9534450651769087,0.9868928296067849,0.9698806592157605,10376
SGDClassifier,TfidfVectorizer,0.851169,Nomenclature,0.8824343015214384,0.6659707724425887,0.759071980963712,958
OneVsRestClassifier,CountVectorizer,105.368663,Description,0.8771021992238034,0.8288508557457213,0.8522941546197361,818
OneVsRestClassifier,CountVectorizer,105.368663,Misc-exposition,0.9710617094672288,0.9766769468003084,0.9738612339035172,10376
OneVsRestClassifier,CountVectorizer,105.368663,Nomenclature,0.8398727465535525,0.826722338204593,0.8332456601788533,958
OneVsRestClassifier,TfidfVectorizer,74.529934,Description,0.9156785243741765,0.8496332518337408,0.8814204185161699,818
OneVsRestClassifier,TfidfVectorizer,74.529934,Misc-exposition,0.9669985775248933,0.9827486507324595,0.9748099995220113,10376
OneVsRestClassifier,TfidfVectorizer,74.529934,Nomenclature,0.8608490566037735,0.7620041753653445,0.8084163898117387,958
OneVsRestClassifier,CountVectorizer,4.047398,Description,0.9026425591098748,0.793398533007335,0.8445022771633051,818
OneVsRestClassifier,CountVectorizer,4.047398,Misc-exposition,0.9605461393596987,0.9831341557440246,0.9717088969327491,10376
OneVsRestClassifier,CountVectorizer,4.047398,Nomenclature,0.8597785977859779,0.7296450939457203,0.7893845285149633,958
OneVsRestClassifier,TfidfVectorizer,1.430281,Description,0.9263803680981595,0.7383863080684596,0.8217687074829931,818
OneVsRestClassifier,TfidfVectorizer,1.430281,Misc-exposition,0.9445466249770094,0.9898804934464148,0.9666823529411764,10376
OneVsRestClassifier,TfidfVectorizer,1.430281,Nomenclature,0.9089456869009584,0.593945720250522,0.7184343434343434,958
