classifier,vectorizer,time,label,precision,recall,f1,support
BernoulliNB,CountVectorizer,0.867603,Description,0.6615746180963572,0.6882640586797066,0.6746554823247455,818
BernoulliNB,CountVectorizer,0.867603,Misc-exposition,0.9115670964227347,0.9676175790285274,0.9387564282374943,10376
BernoulliNB,CountVectorizer,0.867603,Nomenclature,0.8048780487804879,0.24112734864300625,0.37108433734939755,958
BernoulliNB,TfidfVectorizer,0.878271,Description,0.6615746180963572,0.6882640586797066,0.6746554823247455,818
BernoulliNB,TfidfVectorizer,0.878271,Misc-exposition,0.9115670964227347,0.9676175790285274,0.9387564282374943,10376
BernoulliNB,TfidfVectorizer,0.878271,Nomenclature,0.8048780487804879,0.24112734864300625,0.37108433734939755,958
RandomForestClassifier,CountVectorizer,11.972367,Description,0.9368723098995696,0.7982885085574573,0.8620462046204621,818
RandomForestClassifier,CountVectorizer,11.972367,Misc-exposition,0.9685314685314685,0.9877602158828065,0.9780513407767917,10376
RandomForestClassifier,CountVectorizer,11.972367,Nomenclature,0.9049255441008018,0.824634655532359,0.8629164391043145,958
RandomForestClassifier,TfidfVectorizer,9.457368,Description,0.9367816091954023,0.7970660146699267,0.8612945838837516,818
RandomForestClassifier,TfidfVectorizer,9.457368,Misc-exposition,0.9685261967583867,0.9905551272166538,0.9794168096054889,10376
RandomForestClassifier,TfidfVectorizer,9.457368,Nomenclature,0.9360189573459715,0.824634655532359,0.876803551609323,958
AdaBoostClassifier,CountVectorizer,3.561904,Description,0.4099337748344371,0.7567237163814181,0.531786941580756,818
AdaBoostClassifier,CountVectorizer,3.561904,Misc-exposition,0.9211655523400858,0.8896491904394758,0.9051331078099721,10376
AdaBoostClassifier,CountVectorizer,3.561904,Nomenclature,0.5877616747181964,0.38100208768267224,0.46231792273590877,958
AdaBoostClassifier,TfidfVectorizer,4.940639,Description,0.5673828125,0.7102689486552567,0.6308360477741585,818
AdaBoostClassifier,TfidfVectorizer,4.940639,Misc-exposition,0.9509517574780945,0.9099845797995374,0.930017237133711,10376
AdaBoostClassifier,TfidfVectorizer,4.940639,Nomenclature,0.5896580483736447,0.7379958246346555,0.6555401019935095,958
ExtraTreesClassifier,CountVectorizer,6.871989,Description,0.8838709677419355,0.8374083129584352,0.8600125549278091,818
ExtraTreesClassifier,CountVectorizer,6.871989,Misc-exposition,0.9680243623905596,0.9803392444101773,0.9741428845048841,10376
ExtraTreesClassifier,CountVectorizer,6.871989,Nomenclature,0.8688147295742232,0.7881002087682673,0.8264915161466886,958
ExtraTreesClassifier,TfidfVectorizer,6.234981,Description,0.8961384820239681,0.8227383863080685,0.8578712555768006,818
ExtraTreesClassifier,TfidfVectorizer,6.234981,Misc-exposition,0.9668623366786594,0.9841942945258288,0.9754513325054924,10376
