classifier,vectorizer,time,label,precision,recall,f1,support
BernoulliNB,CountVectorizer,1.084643,Description,0.6908442330558858,0.7102689486552567,0.7004219409282699,818
BernoulliNB,CountVectorizer,1.084643,Misc-exposition,0.9259157003497147,0.9696414803392444,0.9472742679597025,10376
BernoulliNB,CountVectorizer,1.084643,Nomenclature,0.8584269662921349,0.3987473903966597,0.5445473984319317,958
BernoulliNB,TfidfVectorizer,1.092380,Description,0.6908442330558858,0.7102689486552567,0.7004219409282699,818
BernoulliNB,TfidfVectorizer,1.092380,Misc-exposition,0.9259157003497147,0.9696414803392444,0.9472742679597025,10376
BernoulliNB,TfidfVectorizer,1.092380,Nomenclature,0.8584269662921349,0.3987473903966597,0.5445473984319317,958
RandomForestClassifier,CountVectorizer,11.468382,Description,0.9375,0.8068459657701712,0.8672798948751643,818
RandomForestClassifier,CountVectorizer,11.468382,Misc-exposition,0.9698340874811463,0.9915188897455667,0.9805566145634769,10376
RandomForestClassifier,CountVectorizer,11.468382,Nomenclature,0.9476190476190476,0.8308977035490606,0.8854282536151279,958
RandomForestClassifier,TfidfVectorizer,9.733233,Description,0.9532163742690059,0.7970660146699267,0.8681757656458056,818
RandomForestClassifier,TfidfVectorizer,9.733233,Misc-exposition,0.9683508640120211,0.9937355435620663,0.98087899543379,10376
RandomForestClassifier,TfidfVectorizer,9.733233,Nomenclature,0.9597560975609756,0.8215031315240083,0.8852643419572555,958
AdaBoostClassifier,CountVectorizer,4.175057,Description,0.6005586592178771,0.7885085574572127,0.6818181818181819,818
AdaBoostClassifier,CountVectorizer,4.175057,Misc-exposition,0.9457252641690682,0.9488242097147263,0.9472722024439526,10376
AdaBoostClassifier,CountVectorizer,4.175057,Nomenclature,0.8398203592814372,0.5855949895615866,0.6900369003690037,958
AdaBoostClassifier,TfidfVectorizer,5.984191,Description,0.6684782608695652,0.7518337408312958,0.7077100115074798,818
AdaBoostClassifier,TfidfVectorizer,5.984191,Misc-exposition,0.953377457660113,0.944005397070162,0.9486682808716708,10376
AdaBoostClassifier,TfidfVectorizer,5.984191,Nomenclature,0.7098121085594989,0.7098121085594989,0.7098121085594989,958
ExtraTreesClassifier,CountVectorizer,6.264185,Description,0.8811013767209012,0.8606356968215159,0.8707482993197277,818
ExtraTreesClassifier,CountVectorizer,6.264185,Misc-exposition,0.9689488177760897,0.9834232845026986,0.9761323958482806,10376
