classifier,vectorizer,time,label,precision,recall,f1,support
BernoulliNB,CountVectorizer,0.860938,Description,0.6608187134502924,0.6907090464547677,0.6754333532576211,818
BernoulliNB,CountVectorizer,0.860938,Misc-exposition,0.9147597775549275,0.9670393215111797,0.9401733427032092,10376
BernoulliNB,CountVectorizer,0.860938,Nomenclature,0.8170731707317073,0.2797494780793319,0.416796267496112,958
BernoulliNB,TfidfVectorizer,0.869422,Description,0.6608187134502924,0.6907090464547677,0.6754333532576211,818
BernoulliNB,TfidfVectorizer,0.869422,Misc-exposition,0.9147597775549275,0.9670393215111797,0.9401733427032092,10376
BernoulliNB,TfidfVectorizer,0.869422,Nomenclature,0.8170731707317073,0.2797494780793319,0.416796267496112,958
RandomForestClassifier,CountVectorizer,13.375148,Description,0.9424460431654677,0.8007334963325183,0.8658294778585592,818
RandomForestClassifier,CountVectorizer,13.375148,Misc-exposition,0.9592903828197946,0.9901696222050886,0.974485440576686,10376
RandomForestClassifier,CountVectorizer,13.375148,Nomenclature,0.9170013386880856,0.7150313152400835,0.8035190615835777,958
RandomForestClassifier,TfidfVectorizer,10.723907,Description,0.9464544138929089,0.7995110024449877,0.8667992047713717,818
RandomForestClassifier,TfidfVectorizer,10.723907,Misc-exposition,0.959802275694833,0.9918080185042406,0.9755427054697128,10376
RandomForestClassifier,TfidfVectorizer,10.723907,Nomenclature,0.9350473612990527,0.721294363256785,0.8143783146729523,958
AdaBoostClassifier,CountVectorizer,3.615873,Description,0.52679307502061,0.7811735941320294,0.6292466765140324,818
AdaBoostClassifier,CountVectorizer,3.615873,Misc-exposition,0.9291738547057696,0.9343677717810331,0.9317635752042288,10376
AdaBoostClassifier,CountVectorizer,3.615873,Nomenclature,0.7782178217821782,0.4102296450939457,0.5372522214627478,958
AdaBoostClassifier,TfidfVectorizer,5.081479,Description,0.6112789526686808,0.7420537897310513,0.6703478741027057,818
AdaBoostClassifier,TfidfVectorizer,5.081479,Misc-exposition,0.9353828636493026,0.950077101002313,0.9426727229261297,10376
AdaBoostClassifier,TfidfVectorizer,5.081479,Nomenclature,0.7790322580645161,0.5041753653444676,0.612167300380228,958
ExtraTreesClassifier,CountVectorizer,6.937774,Description,0.8775510204081632,0.8410757946210269,0.8589263420724095,818
ExtraTreesClassifier,CountVectorizer,6.937774,Misc-exposition,0.9630261660978384,0.9789899768696994,0.970942458420952,10376
ExtraTreesClassifier,CountVectorizer,6.937774,Nomenclature,0.8512195121951219,0.7286012526096033,0.7851518560179978,958
ExtraTreesClassifier,TfidfVectorizer,5.955669,Description,0.8789473684210526,0.8166259168704156,0.8466413181242078,818
ExtraTreesClassifier,TfidfVectorizer,5.955669,Misc-exposition,0.9618428490672697,0.9839051657671549,0.9727489280609815,10376
ExtraTreesClassifier,TfidfVectorizer,5.955669,Nomenclature,0.9010282776349614,0.7317327766179541,0.8076036866359447,958
GradientBoostingClassifier,CountVectorizer,22.590798,Description,0.9219269102990033,0.6784841075794621,0.7816901408450704,818
GradientBoostingClassifier,CountVectorizer,22.590798,Misc-exposition,0.9356485279372893,0.9893022359290671,0.9617276432285566,10376
GradientBoostingClassifier,CountVectorizer,22.590798,Nomenclature,0.8877374784110535,0.5365344467640919,0.6688353936239428,958
GradientBoostingClassifier,TfidfVectorizer,43.184216,Description,0.9162717219589257,0.7090464547677262,0.7994486560992419,818
GradientBoostingClassifier,TfidfVectorizer,43.184216,Misc-exposition,0.9419479090242113,0.9898804934464148,0.9653195488721805,10376
