classifier,vectorizer,time,label,precision,recall,f1,support
BernoulliNB,CountVectorizer,0.929728,Description,0.6835891381345927,0.7078239608801956,0.6954954954954954,818
BernoulliNB,CountVectorizer,0.929728,Misc-exposition,0.9135802469135802,0.9699306090979183,0.9409124906507106,10376
BernoulliNB,CountVectorizer,0.929728,Nomenclature,0.8166089965397924,0.24634655532359082,0.37850842020850045,958
BernoulliNB,TfidfVectorizer,0.925717,Description,0.6835891381345927,0.7078239608801956,0.6954954954954954,818
BernoulliNB,TfidfVectorizer,0.925717,Misc-exposition,0.9135802469135802,0.9699306090979183,0.9409124906507106,10376
BernoulliNB,TfidfVectorizer,0.925717,Nomenclature,0.8166089965397924,0.24634655532359082,0.37850842020850045,958
RandomForestClassifier,CountVectorizer,12.620996,Description,0.9388335704125178,0.8068459657701712,0.8678500986193295,818
RandomForestClassifier,CountVectorizer,12.620996,Misc-exposition,0.970666161998486,0.9886276021588281,0.9795645530939648,10376
RandomForestClassifier,CountVectorizer,12.620996,Nomenclature,0.9137343927355278,0.8402922755741128,0.8754758020663405,958
RandomForestClassifier,TfidfVectorizer,10.607652,Description,0.9403409090909091,0.8092909535452323,0.8699080157687253,818
RandomForestClassifier,TfidfVectorizer,10.607652,Misc-exposition,0.9685321273789335,0.9907478797224364,0.9795140543115769,10376
RandomForestClassifier,TfidfVectorizer,10.607652,Nomenclature,0.935251798561151,0.81419624217119,0.8705357142857142,958
AdaBoostClassifier,CountVectorizer,3.818018,Description,0.5781527531083481,0.7958435207823961,0.6697530864197531,818
AdaBoostClassifier,CountVectorizer,3.818018,Misc-exposition,0.9371087354329192,0.9377409406322282,0.9374247314417843,10376
AdaBoostClassifier,CountVectorizer,3.818018,Nomenclature,0.7309486780715396,0.4906054279749478,0.5871330418488445,958
AdaBoostClassifier,TfidfVectorizer,5.289277,Description,0.6309178743961352,0.7982885085574573,0.7048030221262817,818
AdaBoostClassifier,TfidfVectorizer,5.289277,Misc-exposition,0.937092044272065,0.9547031611410949,0.9458156299231394,10376
AdaBoostClassifier,TfidfVectorizer,5.289277,Nomenclature,0.8351648351648352,0.4759916492693111,0.6063829787234043,958
ExtraTreesClassifier,CountVectorizer,6.969972,Description,0.8599752168525403,0.8484107579462102,0.8541538461538462,818
ExtraTreesClassifier,CountVectorizer,6.969972,Misc-exposition,0.9667998477929984,0.9794718581341557,0.973094599770203,10376
ExtraTreesClassifier,CountVectorizer,6.969972,Nomenclature,0.879951980792317,0.7651356993736952,0.818537130094919,958
ExtraTreesClassifier,TfidfVectorizer,6.356722,Description,0.8920308483290489,0.8484107579462102,0.8696741854636593,818
ExtraTreesClassifier,TfidfVectorizer,6.356722,Misc-exposition,0.9670797464762085,0.985254433307633,0.9760824939132096,10376
ExtraTreesClassifier,TfidfVectorizer,6.356722,Nomenclature,0.9140722291407223,0.7661795407098121,0.8336172629187961,958
GradientBoostingClassifier,CountVectorizer,26.058914,Description,0.9132569558101473,0.6821515892420538,0.780965710286914,818
GradientBoostingClassifier,CountVectorizer,26.058914,Misc-exposition,0.9445772058823529,0.9904587509637626,0.9669740308618743,10376
GradientBoostingClassifier,CountVectorizer,26.058914,Nomenclature,0.9288956127080181,0.6409185803757829,0.7584928968499073,958
GradientBoostingClassifier,TfidfVectorizer,46.250842,Description,0.9203125,0.7200488997555012,0.8079561042524006,818
GradientBoostingClassifier,TfidfVectorizer,46.250842,Misc-exposition,0.9527427724240178,0.9909406322282189,0.9714663643235073,10376
GradientBoostingClassifier,TfidfVectorizer,46.250842,Nomenclature,0.9402777777777778,0.7066805845511482,0.8069129916567342,958
DecisionTreeClassifier,CountVectorizer,4.510632,Description,0.8241758241758241,0.8251833740831296,0.8246792913866829,818
DecisionTreeClassifier,CountVectorizer,4.510632,Misc-exposition,0.9703341013824884,0.9740747879722437,0.9722008464794151,10376
DecisionTreeClassifier,CountVectorizer,4.510632,Nomenclature,0.861504907306434,0.824634655532359,0.8426666666666666,958
DecisionTreeClassifier,TfidfVectorizer,7.448604,Description,0.8022528160200251,0.7836185819070904,0.7928262213976499,818
DecisionTreeClassifier,TfidfVectorizer,7.448604,Misc-exposition,0.9677914110429447,0.9730146491904395,0.97039600153787,10376
DecisionTreeClassifier,TfidfVectorizer,7.448604,Nomenclature,0.8642779587404995,0.8308977035490606,0.8472591804151145,958
CalibratedClassifierCV,CountVectorizer,2.985756,Description,0.9384858044164038,0.7273838630806846,0.8195592286501376,818
