classifier,vectorizer,time,label,precision,recall,f1,support
BernoulliNB,CountVectorizer,0.290447,Description,0.5906593406593407,0.6935483870967742,0.6379821958456975,310
BernoulliNB,CountVectorizer,0.290447,Misc-exposition,0.9023766930743675,0.9548404542996214,0.9278675601103666,3698
BernoulliNB,CountVectorizer,0.290447,Nomenclature,0.6470588235294118,0.103125,0.1778975741239892,320
BernoulliNB,TfidfVectorizer,0.296691,Description,0.5906593406593407,0.6935483870967742,0.6379821958456975,310
BernoulliNB,TfidfVectorizer,0.296691,Misc-exposition,0.9023766930743675,0.9548404542996214,0.9278675601103666,3698
BernoulliNB,TfidfVectorizer,0.296691,Nomenclature,0.6470588235294118,0.103125,0.1778975741239892,320
RandomForestClassifier,CountVectorizer,1.930903,Description,0.9233716475095786,0.7774193548387097,0.8441330998248686,310
RandomForestClassifier,CountVectorizer,1.930903,Misc-exposition,0.9559781193019016,0.9924283396430503,0.9738622794215206,3698
RandomForestClassifier,CountVectorizer,1.930903,Nomenclature,0.9649122807017544,0.6875,0.8029197080291971,320
RandomForestClassifier,TfidfVectorizer,1.752262,Description,0.917910447761194,0.7935483870967742,0.8512110726643599,310
RandomForestClassifier,TfidfVectorizer,1.752262,Misc-exposition,0.9602198377388118,0.9921579232017307,0.9759276499534513,3698
RandomForestClassifier,TfidfVectorizer,1.752262,Nomenclature,0.9707112970711297,0.725,0.8300536672629696,320
AdaBoostClassifier,CountVectorizer,1.255999,Description,0.5722070844686649,0.6774193548387096,0.6203840472673559,310
AdaBoostClassifier,CountVectorizer,1.255999,Misc-exposition,0.9381749460043196,0.939697133585722,0.9389354228586868,3698
AdaBoostClassifier,CountVectorizer,1.255999,Nomenclature,0.7431906614785992,0.596875,0.6620450606585788,320
AdaBoostClassifier,TfidfVectorizer,1.706863,Description,0.5070754716981132,0.6935483870967742,0.5858310626702997,310
AdaBoostClassifier,TfidfVectorizer,1.706863,Misc-exposition,0.9429294349170649,0.9069767441860465,0.9246037215713302,3698
AdaBoostClassifier,TfidfVectorizer,1.706863,Nomenclature,0.6109510086455331,0.6625,0.6356821589205397,320
ExtraTreesClassifier,CountVectorizer,1.149875,Description,0.8494983277591973,0.8193548387096774,0.8341543513957308,310
ExtraTreesClassifier,CountVectorizer,1.149875,Misc-exposition,0.9566825145272055,0.9794483504597079,0.9679315873864243,3698
ExtraTreesClassifier,CountVectorizer,1.149875,Nomenclature,0.8724279835390947,0.6625,0.7531083481349911,320
ExtraTreesClassifier,TfidfVectorizer,1.013653,Description,0.8561643835616438,0.8064516129032258,0.8305647840531561,310
ExtraTreesClassifier,TfidfVectorizer,1.013653,Misc-exposition,0.9606860158311346,0.984586262844781,0.9724893162393163,3698
ExtraTreesClassifier,TfidfVectorizer,1.013653,Nomenclature,0.9390243902439024,0.721875,0.8162544169611308,320
GradientBoostingClassifier,CountVectorizer,8.487991,Description,0.905511811023622,0.7419354838709677,0.8156028368794326,310
GradientBoostingClassifier,CountVectorizer,8.487991,Misc-exposition,0.9494687742938586,0.9908058409951325,0.9696969696969697,3698
GradientBoostingClassifier,CountVectorizer,8.487991,Nomenclature,0.9534883720930233,0.640625,0.766355140186916,320
GradientBoostingClassifier,TfidfVectorizer,14.691185,Description,0.9015748031496063,0.7387096774193549,0.8120567375886525,310
GradientBoostingClassifier,TfidfVectorizer,14.691185,Misc-exposition,0.9517008569202804,0.9910762574364521,0.9709895350377533,3698
GradientBoostingClassifier,TfidfVectorizer,14.691185,Nomenclature,0.9641255605381166,0.671875,0.7918968692449355,320
DecisionTreeClassifier,CountVectorizer,0.937979,Description,0.7699680511182109,0.7774193548387097,0.7736757624398074,310
DecisionTreeClassifier,CountVectorizer,0.937979,Misc-exposition,0.9660651764072179,0.9699837750135208,0.9680205100526245,3698
DecisionTreeClassifier,CountVectorizer,0.937979,Nomenclature,0.8642384105960265,0.815625,0.8392282958199356,320
DecisionTreeClassifier,TfidfVectorizer,1.410338,Description,0.7925696594427245,0.8258064516129032,0.8088467614533964,310
DecisionTreeClassifier,TfidfVectorizer,1.410338,Misc-exposition,0.9688346883468835,0.9667387777176852,0.9677855982674608,3698
DecisionTreeClassifier,TfidfVectorizer,1.410338,Nomenclature,0.8222222222222222,0.809375,0.8157480314960629,320
CalibratedClassifierCV,CountVectorizer,1.022994,Description,0.9251101321585903,0.6774193548387096,0.7821229050279329,310
CalibratedClassifierCV,CountVectorizer,1.022994,Misc-exposition,0.947900466562986,0.9889129259058951,0.9679724722075171,3698
CalibratedClassifierCV,CountVectorizer,1.022994,Nomenclature,0.9012345679012346,0.684375,0.7779751332149201,320
