classifier,vectorizer,time,label,precision,recall,f1,support
BernoulliNB,CountVectorizer,0.596249,Description,0.5843949044585988,0.6950757575757576,0.6349480968858131,528
BernoulliNB,CountVectorizer,0.596249,Misc-exposition,0.9252749744869033,0.9637415849769694,0.9441166261714682,8467
BernoulliNB,CountVectorizer,0.596249,Nomenclature,0.8367346938775511,0.3297587131367292,0.4730769230769231,746
BernoulliNB,TfidfVectorizer,0.602412,Description,0.5843949044585988,0.6950757575757576,0.6349480968858131,528
BernoulliNB,TfidfVectorizer,0.602412,Misc-exposition,0.9252749744869033,0.9637415849769694,0.9441166261714682,8467
BernoulliNB,TfidfVectorizer,0.602412,Nomenclature,0.8367346938775511,0.3297587131367292,0.4730769230769231,746
RandomForestClassifier,CountVectorizer,6.328788,Description,0.9420935412026726,0.8011363636363636,0.8659160696008188,528
RandomForestClassifier,CountVectorizer,6.328788,Misc-exposition,0.9750580046403712,0.9926774536435573,0.9837888453210042,8467
RandomForestClassifier,CountVectorizer,6.328788,Nomenclature,0.9464285714285714,0.8525469168900804,0.8970380818053597,746
RandomForestClassifier,TfidfVectorizer,5.550772,Description,0.9481981981981982,0.7973484848484849,0.8662551440329219,528
RandomForestClassifier,TfidfVectorizer,5.550772,Misc-exposition,0.9730542384642072,0.9937404039211055,0.9832885357017647,8467
RandomForestClassifier,TfidfVectorizer,5.550772,Nomenclature,0.9538461538461539,0.8310991957104558,0.8882521489971348,746
AdaBoostClassifier,CountVectorizer,2.696183,Description,0.5988112927191679,0.7632575757575758,0.6711074104912573,528
AdaBoostClassifier,CountVectorizer,2.696183,Misc-exposition,0.953185955786736,0.9522853430967285,0.9527354366064044,8467
AdaBoostClassifier,CountVectorizer,2.696183,Nomenclature,0.7799671592775042,0.6367292225201072,0.7011070110701108,746
AdaBoostClassifier,TfidfVectorizer,3.682864,Description,0.6335504885993485,0.7367424242424242,0.6812609457092819,528
AdaBoostClassifier,TfidfVectorizer,3.682864,Misc-exposition,0.9626704953338119,0.9502775481280265,0.9564338781575037,8467
AdaBoostClassifier,TfidfVectorizer,3.682864,Nomenclature,0.7451235370611183,0.7680965147453083,0.7564356435643563,746
ExtraTreesClassifier,CountVectorizer,3.895855,Description,0.8624031007751938,0.8428030303030303,0.8524904214559387,528
ExtraTreesClassifier,CountVectorizer,3.895855,Misc-exposition,0.9680875844397857,0.9816936341088933,0.9748431361050842,8467
ExtraTreesClassifier,CountVectorizer,3.895855,Nomenclature,0.8685446009389671,0.7439678284182306,0.8014440433212997,746
ExtraTreesClassifier,TfidfVectorizer,3.410332,Description,0.8830645161290323,0.8295454545454546,0.85546875,528
ExtraTreesClassifier,TfidfVectorizer,3.410332,Misc-exposition,0.9714684988936765,0.9852368017007205,0.9783042101559752,8467
ExtraTreesClassifier,TfidfVectorizer,3.410332,Nomenclature,0.898176291793313,0.792225201072386,0.8418803418803419,746
GradientBoostingClassifier,CountVectorizer,16.669541,Description,0.9215686274509803,0.7121212121212122,0.8034188034188035,528
GradientBoostingClassifier,CountVectorizer,16.669541,Misc-exposition,0.9614239926739927,0.9919688201251919,0.9764575946055921,8467
GradientBoostingClassifier,CountVectorizer,16.669541,Nomenclature,0.9396984924623115,0.7520107238605898,0.8354430379746836,746
