classifier,vectorizer,time,label,precision,recall,f1,support
BernoulliNB,CountVectorizer,0.714155,Description,0.6131687242798354,0.7050473186119873,0.6559060895084373,634
BernoulliNB,CountVectorizer,0.714155,Misc-exposition,0.9215119178218809,0.9669317706153202,0.9436756370321197,9556
BernoulliNB,CountVectorizer,0.714155,Nomenclature,0.8571428571428571,0.27403846153846156,0.41530054644808745,832
BernoulliNB,TfidfVectorizer,0.725606,Description,0.6131687242798354,0.7050473186119873,0.6559060895084373,634
BernoulliNB,TfidfVectorizer,0.725606,Misc-exposition,0.9215119178218809,0.9669317706153202,0.9436756370321197,9556
BernoulliNB,TfidfVectorizer,0.725606,Nomenclature,0.8571428571428571,0.27403846153846156,0.41530054644808745,832
RandomForestClassifier,CountVectorizer,8.046053,Description,0.9345794392523364,0.7886435331230284,0.8554319931565441,634
RandomForestClassifier,CountVectorizer,8.046053,Misc-exposition,0.9723332308638181,0.9929886982000837,0.982552420398654,9556
RandomForestClassifier,CountVectorizer,8.046053,Nomenclature,0.9560439560439561,0.8365384615384616,0.8923076923076924,832
RandomForestClassifier,TfidfVectorizer,6.771246,Description,0.9437148217636022,0.7933753943217665,0.8620394173093401,634
RandomForestClassifier,TfidfVectorizer,6.771246,Misc-exposition,0.9702545231524072,0.9933026370866471,0.9816433114431977,9556
RandomForestClassifier,TfidfVectorizer,6.771246,Nomenclature,0.9518413597733711,0.8076923076923077,0.8738621586475942,832
AdaBoostClassifier,CountVectorizer,3.146291,Description,0.55,0.7287066246056783,0.626865671641791,634
AdaBoostClassifier,CountVectorizer,3.146291,Misc-exposition,0.9470749158249159,0.9419213059857681,0.9444910807974817,9556
AdaBoostClassifier,CountVectorizer,3.146291,Nomenclature,0.7374631268436578,0.6009615384615384,0.6622516556291391,832
AdaBoostClassifier,TfidfVectorizer,4.437741,Description,0.6618287373004355,0.7192429022082019,0.6893424036281179,634
AdaBoostClassifier,TfidfVectorizer,4.437741,Misc-exposition,0.9462498710409574,0.9598158225198828,0.9529845706270456,9556
AdaBoostClassifier,TfidfVectorizer,4.437741,Nomenclature,0.7625,0.5865384615384616,0.6630434782608696,832
ExtraTreesClassifier,CountVectorizer,4.929872,Description,0.8668831168831169,0.8422712933753943,0.8543999999999999,634
ExtraTreesClassifier,CountVectorizer,4.929872,Misc-exposition,0.9677817807514153,0.9838844704897447,0.9757666960718178,9556
ExtraTreesClassifier,CountVectorizer,4.929872,Nomenclature,0.8958031837916064,0.7439903846153846,0.8128693368351937,832
ExtraTreesClassifier,TfidfVectorizer,4.259045,Description,0.8723051409618574,0.8296529968454258,0.8504446240905417,634
ExtraTreesClassifier,TfidfVectorizer,4.259045,Misc-exposition,0.9701461807700227,0.9861866889912098,0.9781006746237675,9556
