classifier,vectorizer,time,label,precision,recall,f1,support
BernoulliNB,CountVectorizer,0.834117,Description,0.6329268292682927,0.7168508287292817,0.6722797927461139,724
BernoulliNB,CountVectorizer,0.834117,Misc-exposition,0.9220329464619993,0.966637228927485,0.9438083832335329,10191
BernoulliNB,CountVectorizer,0.834117,Nomenclature,0.8734177215189873,0.30497237569060776,0.4520884520884521,905
BernoulliNB,TfidfVectorizer,0.845329,Description,0.6329268292682927,0.7168508287292817,0.6722797927461139,724
BernoulliNB,TfidfVectorizer,0.845329,Misc-exposition,0.9220329464619993,0.966637228927485,0.9438083832335329,10191
BernoulliNB,TfidfVectorizer,0.845329,Nomenclature,0.8734177215189873,0.30497237569060776,0.4520884520884521,905
RandomForestClassifier,CountVectorizer,9.467767,Description,0.9403973509933775,0.7845303867403315,0.855421686746988,724
RandomForestClassifier,CountVectorizer,9.467767,Misc-exposition,0.9682235834609495,0.9926405652045923,0.9802800523281167,10191
RandomForestClassifier,CountVectorizer,9.467767,Nomenclature,0.94921875,0.8055248618784531,0.8714883442916916,905
RandomForestClassifier,TfidfVectorizer,7.802709,Description,0.9416666666666667,0.7803867403314917,0.8534743202416918,724
RandomForestClassifier,TfidfVectorizer,7.802709,Misc-exposition,0.9674027339642481,0.9930330683936807,0.9800503583188068,10191
RandomForestClassifier,TfidfVectorizer,7.802709,Nomenclature,0.9525691699604744,0.7988950276243094,0.8689903846153846,905
AdaBoostClassifier,CountVectorizer,3.567560,Description,0.5816857440166493,0.7720994475138122,0.6635014836795252,724
AdaBoostClassifier,CountVectorizer,3.567560,Misc-exposition,0.9518818009384047,0.9356294769895005,0.9436856690419636,10191
AdaBoostClassifier,CountVectorizer,3.567560,Nomenclature,0.6971496437054632,0.6486187845303868,0.6720091585575272,905
AdaBoostClassifier,TfidfVectorizer,4.976775,Description,0.6420927467300832,0.7458563535911602,0.6900958466453674,724
AdaBoostClassifier,TfidfVectorizer,4.976775,Misc-exposition,0.9432561773610704,0.9476989500539692,0.9454723445912874,10191
AdaBoostClassifier,TfidfVectorizer,4.976775,Nomenclature,0.6824324324324325,0.5580110497237569,0.6139817629179332,905
ExtraTreesClassifier,CountVectorizer,5.702341,Description,0.8759124087591241,0.8287292817679558,0.8516678495386799,724
ExtraTreesClassifier,CountVectorizer,5.702341,Misc-exposition,0.9627817745803358,0.9848886272200962,0.9737097400077609,10191
ExtraTreesClassifier,CountVectorizer,5.702341,Nomenclature,0.9028169014084507,0.7082872928176795,0.7938080495356037,905
ExtraTreesClassifier,TfidfVectorizer,4.871184,Description,0.9090909090909091,0.8425414364640884,0.874551971326165,724
ExtraTreesClassifier,TfidfVectorizer,4.871184,Misc-exposition,0.9690414383232382,0.9890099107055245,0.9789238539238541,10191
ExtraTreesClassifier,TfidfVectorizer,4.871184,Nomenclature,0.9318181818181818,0.7701657458563536,0.8433151845130066,905
GradientBoostingClassifier,CountVectorizer,22.620970,Description,0.9232111692844677,0.7306629834254144,0.8157286044718581,724
GradientBoostingClassifier,CountVectorizer,22.620970,Misc-exposition,0.9560897132582569,0.991364929840055,0.9734078427594179,10191
GradientBoostingClassifier,CountVectorizer,22.620970,Nomenclature,0.9323529411764706,0.7005524861878453,0.7999999999999999,905
GradientBoostingClassifier,TfidfVectorizer,42.844813,Description,0.9195804195804196,0.7265193370165746,0.8117283950617283,724
GradientBoostingClassifier,TfidfVectorizer,42.844813,Misc-exposition,0.9581987459623789,0.9896967912864292,0.9736931022831491,10191
GradientBoostingClassifier,TfidfVectorizer,42.844813,Nomenclature,0.9182825484764543,0.7325966850828729,0.8149969268592501,905
DecisionTreeClassifier,CountVectorizer,3.613947,Description,0.849478390461997,0.787292817679558,0.8172043010752689,724
DecisionTreeClassifier,CountVectorizer,3.613947,Misc-exposition,0.9744343226564796,0.976155431262879,0.9752941176470589,10191
DecisionTreeClassifier,CountVectorizer,3.613947,Nomenclature,0.8468085106382979,0.8795580110497238,0.8628726287262872,905
DecisionTreeClassifier,TfidfVectorizer,5.937018,Description,0.7925311203319502,0.7914364640883977,0.791983413959917,724
DecisionTreeClassifier,TfidfVectorizer,5.937018,Misc-exposition,0.9734382685686178,0.9709547640074576,0.9721949302416978,10191
DecisionTreeClassifier,TfidfVectorizer,5.937018,Nomenclature,0.8412017167381974,0.8662983425414365,0.8535655960805661,905
CalibratedClassifierCV,CountVectorizer,2.885938,Description,0.9341637010676157,0.7251381215469613,0.8164852255054432,724
CalibratedClassifierCV,CountVectorizer,2.885938,Misc-exposition,0.9614724394430669,0.9893042880973408,0.9751898244426175,10191
CalibratedClassifierCV,CountVectorizer,2.885938,Nomenclature,0.9041450777202072,0.7712707182320442,0.8324388789505069,905
CalibratedClassifierCV,TfidfVectorizer,1.411861,Description,0.9338461538461539,0.8383977900552486,0.8835516739446871,724
CalibratedClassifierCV,TfidfVectorizer,1.411861,Misc-exposition,0.9749757516973812,0.9863605141791777,0.9806350909711722,10191
CalibratedClassifierCV,TfidfVectorizer,1.411861,Nomenclature,0.8883720930232558,0.8441988950276244,0.8657223796033995,905
DummyClassifier,CountVectorizer,0.776981,Description,0.06957708049113233,0.07044198895027624,0.07000686341798215,724
DummyClassifier,CountVectorizer,0.776981,Misc-exposition,0.8624484181568088,0.8613482484545187,0.8618979822278954,10191
DummyClassifier,CountVectorizer,0.776981,Nomenclature,0.06050605060506051,0.06077348066298342,0.06063947078280044,905
DummyClassifier,TfidfVectorizer,0.802444,Description,0.06957708049113233,0.07044198895027624,0.07000686341798215,724
DummyClassifier,TfidfVectorizer,0.802444,Misc-exposition,0.8624484181568088,0.8613482484545187,0.8618979822278954,10191
DummyClassifier,TfidfVectorizer,0.802444,Nomenclature,0.06050605060506051,0.06077348066298342,0.06063947078280044,905
PassiveAggressiveClassifier,CountVectorizer,0.850481,Description,0.8986587183308494,0.8328729281767956,0.864516129032258,724
PassiveAggressiveClassifier,CountVectorizer,0.850481,Misc-exposition,0.9752773992602687,0.9832204886664704,0.9792328365502077,10191
PassiveAggressiveClassifier,CountVectorizer,0.850481,Nomenclature,0.8811428571428571,0.8519337016574585,0.8662921348314607,905
PassiveAggressiveClassifier,TfidfVectorizer,0.848871,Description,0.924219910846954,0.8591160220994475,0.8904795991410164,724
PassiveAggressiveClassifier,TfidfVectorizer,0.848871,Misc-exposition,0.9775390625,0.9822392306937494,0.9798835103519162,10191
PassiveAggressiveClassifier,TfidfVectorizer,0.848871,Nomenclature,0.856670341786108,0.8585635359116022,0.8576158940397351,905
RidgeClassifier,CountVectorizer,14.743560,Description,0.9207317073170732,0.6256906077348067,0.7450657894736843,724
RidgeClassifier,CountVectorizer,14.743560,Misc-exposition,0.9426129426129426,0.9847905014228241,0.9632402341875419,10191
RidgeClassifier,CountVectorizer,14.743560,Nomenclature,0.8208516886930984,0.6176795580110497,0.7049180327868853,905
RidgeClassifier,TfidfVectorizer,1.626889,Description,0.9382911392405063,0.819060773480663,0.8746312684365781,724
RidgeClassifier,TfidfVectorizer,1.626889,Misc-exposition,0.967357910906298,0.9887155333137082,0.9779201242296308,10191
RidgeClassifier,TfidfVectorizer,1.626889,Nomenclature,0.9015544041450777,0.7690607734806629,0.8300536672629696,905
SGDClassifier,CountVectorizer,0.839479,Description,0.9089506172839507,0.81353591160221,0.858600583090379,724
