classifier,vectorizer,time,label,precision,recall,f1,support
BernoulliNB,CountVectorizer,2.635628,Bibliography,0.8214051214707814,0.6245631552670994,0.709585933068633,2003
BernoulliNB,CountVectorizer,2.635628,Description,0.7878585723815877,0.7409033877038896,0.7636598771419334,1594
BernoulliNB,CountVectorizer,2.635628,Misc-exposition,0.8804863582443654,0.9447891805887033,0.9115051039987719,12570
BernoulliNB,CountVectorizer,2.635628,Nomenclature,0.8614754098360655,0.672424824056302,0.755300035932447,1563
BernoulliNB,TfidfVectorizer,2.657218,Bibliography,0.8214051214707814,0.6245631552670994,0.709585933068633,2003
BernoulliNB,TfidfVectorizer,2.657218,Description,0.7878585723815877,0.7409033877038896,0.7636598771419334,1594
BernoulliNB,TfidfVectorizer,2.657218,Misc-exposition,0.8804863582443654,0.9447891805887033,0.9115051039987719,12570
BernoulliNB,TfidfVectorizer,2.657218,Nomenclature,0.8614754098360655,0.672424824056302,0.755300035932447,1563
RandomForestClassifier,CountVectorizer,32.024042,Bibliography,0.8903868698710434,0.7583624563155267,0.819088703154489,2003
RandomForestClassifier,CountVectorizer,32.024042,Description,0.9525179856115108,0.8306148055207027,0.8873994638069705,1594
RandomForestClassifier,CountVectorizer,32.024042,Misc-exposition,0.9311707057661627,0.9750994431185362,0.9526289200637313,12570
RandomForestClassifier,CountVectorizer,32.024042,Nomenclature,0.919782460910945,0.8656429942418427,0.891891891891892,1563
RandomForestClassifier,TfidfVectorizer,26.985139,Bibliography,0.8759508484493856,0.747378931602596,0.806573275862069,2003
RandomForestClassifier,TfidfVectorizer,26.985139,Description,0.9574007220216606,0.8318695106649937,0.8902316213494461,1594
RandomForestClassifier,TfidfVectorizer,26.985139,Misc-exposition,0.9276021529830946,0.9734287987271281,0.9499631225495905,12570
RandomForestClassifier,TfidfVectorizer,26.985139,Nomenclature,0.9259515570934256,0.8560460652591171,0.8896276595744681,1563
AdaBoostClassifier,CountVectorizer,7.983437,Bibliography,0.581476627348187,0.6645032451323015,0.6202236719478098,2003
AdaBoostClassifier,CountVectorizer,7.983437,Description,0.5746268656716418,0.7728983688833124,0.6591760299625469,1594
