classifier,vectorizer,time,label,precision,recall,f1,support
BernoulliNB,CountVectorizer,1.470256,Description,0.716589861751152,0.7199074074074074,0.7182448036951501,864
BernoulliNB,CountVectorizer,1.470256,Misc-exposition,0.9108055702450203,0.9727948790360539,0.9407801902681052,10623
BernoulliNB,CountVectorizer,1.470256,Nomenclature,0.8253424657534246,0.2365063788027478,0.36765827612509533,1019
BernoulliNB,TfidfVectorizer,1.485699,Description,0.716589861751152,0.7199074074074074,0.7182448036951501,864
BernoulliNB,TfidfVectorizer,1.485699,Misc-exposition,0.9108055702450203,0.9727948790360539,0.9407801902681052,10623
BernoulliNB,TfidfVectorizer,1.485699,Nomenclature,0.8253424657534246,0.2365063788027478,0.36765827612509533,1019
RandomForestClassifier,CountVectorizer,15.413848,Description,0.9322916666666666,0.8287037037037037,0.877450980392157,864
RandomForestClassifier,CountVectorizer,15.413848,Misc-exposition,0.9628372178381355,0.9877624023345571,0.9751405603828818,10623
RandomForestClassifier,CountVectorizer,15.413848,Nomenclature,0.9071428571428571,0.7477919528949951,0.8197955890263583,1019
RandomForestClassifier,TfidfVectorizer,13.470204,Description,0.9397590361445783,0.8125,0.8715083798882681,864
RandomForestClassifier,TfidfVectorizer,13.470204,Misc-exposition,0.9618864820400329,0.990680598700932,0.9760712298274903,10623
RandomForestClassifier,TfidfVectorizer,13.470204,Nomenclature,0.9339853300733496,0.7497546614327772,0.8317909635274904,1019
AdaBoostClassifier,CountVectorizer,4.499500,Description,0.5241433021806854,0.7789351851851852,0.6266294227188083,864
AdaBoostClassifier,CountVectorizer,4.499500,Misc-exposition,0.9135825144641381,0.9364586275063541,0.9248791372257344,10623
AdaBoostClassifier,CountVectorizer,4.499500,Nomenclature,0.8018018018018018,0.2620215897939156,0.39497041420118345,1019
AdaBoostClassifier,TfidfVectorizer,6.073828,Description,0.6557539682539683,0.7650462962962963,0.7061965811965812,864
AdaBoostClassifier,TfidfVectorizer,6.073828,Misc-exposition,0.9321971441731921,0.9525557752047444,0.9422665052611975,10623
AdaBoostClassifier,TfidfVectorizer,6.073828,Nomenclature,0.7527216174183515,0.47497546614327774,0.5824308062575211,1019
ExtraTreesClassifier,CountVectorizer,8.462612,Description,0.8741176470588236,0.8599537037037037,0.8669778296382731,864
ExtraTreesClassifier,CountVectorizer,8.462612,Misc-exposition,0.9609216589861751,0.9814553327685211,0.9710799608811065,10623
ExtraTreesClassifier,CountVectorizer,8.462612,Nomenclature,0.8883374689826302,0.7026496565260059,0.7846575342465753,1019
ExtraTreesClassifier,TfidfVectorizer,7.187135,Description,0.8874251497005988,0.8576388888888888,0.872277810476751,864
ExtraTreesClassifier,TfidfVectorizer,7.187135,Misc-exposition,0.9619520264681555,0.9853148828014685,0.9734933035714285,10623
ExtraTreesClassifier,TfidfVectorizer,7.187135,Nomenclature,0.9215189873417722,0.7144259077526988,0.804864566058596,1019
GradientBoostingClassifier,CountVectorizer,27.611347,Description,0.903177004538578,0.6909722222222222,0.7829508196721312,864
GradientBoostingClassifier,CountVectorizer,27.611347,Misc-exposition,0.9352684533879441,0.9887978913677868,0.9612885512949574,10623
GradientBoostingClassifier,CountVectorizer,27.611347,Nomenclature,0.9087947882736156,0.5475956820412169,0.683404776484997,1019
GradientBoostingClassifier,TfidfVectorizer,49.220480,Description,0.8968023255813954,0.7141203703703703,0.7951030927835051,864
GradientBoostingClassifier,TfidfVectorizer,49.220480,Misc-exposition,0.9417771408097456,0.9897392450343594,0.9651627117088172,10623
GradientBoostingClassifier,TfidfVectorizer,49.220480,Nomenclature,0.9403669724770642,0.6035328753680078,0.7352062163777645,1019
DecisionTreeClassifier,CountVectorizer,8.845532,Description,0.8204225352112676,0.8090277777777778,0.8146853146853148,864
DecisionTreeClassifier,CountVectorizer,8.845532,Misc-exposition,0.9658023299511462,0.9677115692365622,0.9667560069591387,10623
DecisionTreeClassifier,CountVectorizer,8.845532,Nomenclature,0.808910891089109,0.8017664376840039,0.8053228191227206,1019
DecisionTreeClassifier,TfidfVectorizer,17.257374,Description,0.8046242774566474,0.8055555555555556,0.8050896471949104,864
DecisionTreeClassifier,TfidfVectorizer,17.257374,Misc-exposition,0.9640105243375305,0.9657347265367598,0.9648718551610629,10623
DecisionTreeClassifier,TfidfVectorizer,17.257374,Nomenclature,0.7997997997997998,0.7841020608439647,0.7918731417244798,1019
CalibratedClassifierCV,CountVectorizer,4.242470,Description,0.9436201780415431,0.7361111111111112,0.8270481144343304,864
CalibratedClassifierCV,CountVectorizer,4.242470,Misc-exposition,0.9584207166955412,0.9894568389343876,0.973691523853636,10623
CalibratedClassifierCV,CountVectorizer,4.242470,Nomenclature,0.9144508670520232,0.7762512266928361,0.8397027600849256,1019
CalibratedClassifierCV,TfidfVectorizer,2.178297,Description,0.9318463444857497,0.8703703703703703,0.900059844404548,864
CalibratedClassifierCV,TfidfVectorizer,2.178297,Misc-exposition,0.9726141849238767,0.9862562364680411,0.979387707408273,10623
CalibratedClassifierCV,TfidfVectorizer,2.178297,Nomenclature,0.9018338727076591,0.8204121687929342,0.8591983556012334,1019
DummyClassifier,CountVectorizer,1.414944,Description,0.08587570621468926,0.08796296296296297,0.08690680388793597,864
DummyClassifier,CountVectorizer,1.414944,Misc-exposition,0.848450598097391,0.8479713828485362,0.8482109227871941,10623
DummyClassifier,CountVectorizer,1.414944,Nomenclature,0.09661354581673307,0.09519136408243375,0.09589718240237272,1019
DummyClassifier,TfidfVectorizer,1.396338,Description,0.08587570621468926,0.08796296296296297,0.08690680388793597,864
DummyClassifier,TfidfVectorizer,1.396338,Misc-exposition,0.848450598097391,0.8479713828485362,0.8482109227871941,10623
DummyClassifier,TfidfVectorizer,1.396338,Nomenclature,0.09661354581673307,0.09519136408243375,0.09589718240237272,1019
PassiveAggressiveClassifier,CountVectorizer,1.477063,Description,0.8910411622276029,0.8518518518518519,0.8710059171597634,864
PassiveAggressiveClassifier,CountVectorizer,1.477063,Misc-exposition,0.9743829468960359,0.9810787913018921,0.9777194052253858,10623
PassiveAggressiveClassifier,CountVectorizer,1.477063,Nomenclature,0.8861788617886179,0.8557409224730128,0.8706939590614079,1019
PassiveAggressiveClassifier,TfidfVectorizer,1.461818,Description,0.9167686658506732,0.8668981481481481,0.891136228435455,864
PassiveAggressiveClassifier,TfidfVectorizer,1.461818,Misc-exposition,0.9745407068917281,0.9837145815682952,0.9791061557200412,10623
PassiveAggressiveClassifier,TfidfVectorizer,1.461818,Nomenclature,0.8892339544513458,0.8429833169774289,0.8654911838790932,1019
RidgeClassifier,CountVectorizer,14.612967,Description,0.9122257053291536,0.6736111111111112,0.7749667110519307,864
RidgeClassifier,CountVectorizer,14.612967,Misc-exposition,0.941908713692946,0.9829614986350372,0.9619973282970197,10623
RidgeClassifier,CountVectorizer,14.612967,Nomenclature,0.8363171355498721,0.6418056918547596,0.7262631871182677,1019
RidgeClassifier,TfidfVectorizer,2.287825,Description,0.9384615384615385,0.8472222222222222,0.8905109489051095,864
RidgeClassifier,TfidfVectorizer,2.287825,Misc-exposition,0.9651997790462161,0.9869151840346418,0.9759367000232719,10623
RidgeClassifier,TfidfVectorizer,2.287825,Nomenclature,0.8946759259259259,0.7585868498527969,0.8210302708443973,1019
SGDClassifier,CountVectorizer,1.443287,Description,0.8934324659231723,0.8344907407407407,0.8629563135846798,864
SGDClassifier,CountVectorizer,1.443287,Misc-exposition,0.9687355042211708,0.9829614986350372,0.9757966545182694,10623
SGDClassifier,CountVectorizer,1.443287,Nomenclature,0.8967391304347826,0.8096172718351324,0.8509541000515728,1019
SGDClassifier,TfidfVectorizer,1.461493,Description,0.9313077939233818,0.8159722222222222,0.8698334361505244,864
SGDClassifier,TfidfVectorizer,1.461493,Misc-exposition,0.9576217006119281,0.9870093194012991,0.9720934544780271,10623
SGDClassifier,TfidfVectorizer,1.461493,Nomenclature,0.8925,0.7006869479882237,0.7850467289719626,1019
OneVsRestClassifier,CountVectorizer,105.772085,Description,0.866507747318236,0.8414351851851852,0.8537874339401057,864
OneVsRestClassifier,CountVectorizer,105.772085,Misc-exposition,0.9722976134768367,0.9779723242022028,0.9751267129716539,10623
OneVsRestClassifier,CountVectorizer,105.772085,Nomenclature,0.8747454175152749,0.8429833169774289,0.8585707146426788,1019
OneVsRestClassifier,TfidfVectorizer,129.893550,Description,0.9290161892901619,0.8634259259259259,0.8950209958008398,864
OneVsRestClassifier,TfidfVectorizer,129.893550,Misc-exposition,0.9711689997218874,0.9861621011013838,0.9786081270434377,10623
OneVsRestClassifier,TfidfVectorizer,129.893550,Nomenclature,0.9017467248908297,0.8105986261040236,0.8537467700258399,1019
OneVsRestClassifier,CountVectorizer,7.986980,Description,0.9007537688442211,0.8298611111111112,0.863855421686747,864
